sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,prime_decade_consistency,prime_cond,acc,RT,block,problem_size,timing
sj01,31,male,6,5,30,30,23,0,product,unrelated,inconsistent,unrel_inc,0,0,1,small,ok
sj01,31,male,3,8,21,24,21,1,neighbour,identity,NA,identity,1,687,1,small,ok
sj01,31,male,3,4,12,12,12,1,product,identity,NA,identity,1,771,1,small,ok
sj01,31,male,5,6,23,30,23,0,unrelated,identity,NA,identity,1,526,1,small,ok
sj01,31,male,5,5,31,25,31,0,unrelated,identity,NA,identity,1,514,1,small,ok
sj01,31,male,3,4,12,12,7,1,product,unrelated,inconsistent,unrel_inc,1,768,1,small,ok
sj01,31,male,8,3,22,24,-1,1,unrelated,neutral,NA,neutral,1,597,1,small,ok
sj01,31,male,4,6,28,24,28,1,neighbour,identity,NA,identity,1,594,1,small,ok
sj01,31,male,8,3,24,24,24,1,product,identity,NA,identity,1,496,1,small,ok
sj01,31,male,5,8,37,40,37,0,unrelated,identity,NA,identity,1,947,1,large,ok
sj01,31,male,6,6,42,36,42,0,neighbour,identity,NA,identity,1,579,1,large,ok
sj01,31,male,6,5,35,30,-1,0,neighbour,neutral,NA,neutral,1,635,1,small,ok
sj01,31,male,3,8,27,24,27,1,neighbour,identity,NA,identity,1,514,1,small,ok
sj01,31,male,6,6,31,36,31,0,unrelated,identity,NA,identity,1,544,1,large,ok
sj01,31,male,5,5,25,25,-1,0,product,neutral,NA,neutral,1,432,1,small,ok
sj01,31,male,8,3,24,24,21,1,product,neighbour,consistent,neigh_con,1,510,1,small,ok
sj01,31,male,7,3,21,21,24,0,product,neighbour,consistent,neigh_con,1,605,1,small,ok
sj01,31,male,4,6,24,24,22,1,product,unrelated,consistent,unrel_con,1,785,1,small,ok
sj01,31,male,4,6,29,24,29,1,unrelated,identity,NA,identity,1,497,1,small,ok
sj01,31,male,3,3,11,9,11,1,unrelated,identity,NA,identity,1,627,1,small,ok
sj01,31,male,7,8,62,56,62,1,unrelated,identity,NA,identity,1,804,1,large,ok
sj01,31,male,5,8,40,40,-1,0,product,neutral,NA,neutral,1,512,1,large,ok
sj01,31,male,5,5,25,25,30,0,product,neighbour,inconsistent,neigh_inc,1,702,1,small,ok
sj01,31,male,4,8,32,32,36,0,product,neighbour,consistent,neigh_con,0,494,1,large,ok
sj01,31,male,6,4,24,24,-1,1,product,neutral,NA,neutral,1,704,1,small,ok
sj01,31,male,3,8,21,24,-1,1,neighbour,neutral,NA,neutral,1,561,1,small,ok
sj01,31,male,7,4,23,28,23,0,unrelated,identity,NA,identity,1,621,1,small,ok
sj01,31,male,5,3,19,15,-1,1,unrelated,neutral,NA,neutral,1,493,1,small,ok
sj01,31,male,7,4,28,28,28,0,product,identity,NA,identity,1,576,1,small,ok
sj01,31,male,3,6,18,18,-1,0,product,neutral,NA,neutral,1,577,1,small,ok
