sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,prime_decade_consistency,prime_cond,acc,RT,block,problem_size,timing
sj01,31,male,6,8,41,48,41,0,unrelated,identity,NA,identity,1,500,1,large,ok
sj01,31,male,6,6,36,36,-1,0,product,neutral,NA,neutral,1,780,1,large,ok
sj01,31,male,7,3,18,21,-1,0,neighbour,neutral,NA,neutral,1,477,1,small,ok
sj01,31,male,5,7,35,35,40,0,product,neighbour,inconsistent,neigh_inc,1,786,1,large,ok
sj01,31,male,7,4,32,28,32,0,neighbour,identity,NA,identity,1,546,1,small,ok
sj01,31,male,4,4,16,16,20,0,product,neighbour,inconsistent,neigh_inc,1,675,1,small,ok
sj01,31,male,4,6,28,24,-1,1,neighbour,neutral,NA,neutral,1,561,1,small,ok
sj01,31,male,3,7,21,21,19,0,product,unrelated,inconsistent,unrel_inc,1,557,1,small,ok
sj01,31,male,4,5,20,20,23,0,product,unrelated,consistent,unrel_con,1,915,1,small,ok
sj01,31,male,3,8,26,24,-1,1,unrelated,neutral,NA,neutral,1,530,1,small,ok
sj01,31,male,4,4,12,16,12,0,neighbour,identity,NA,identity,1,572,1,small,ok
sj01,31,male,3,7,18,21,-1,0,neighbour,neutral,NA,neutral,1,526,1,small,ok
sj01,31,male,7,6,36,42,36,0,neighbour,identity,NA,identity,1,722,1,large,ok
sj01,31,male,5,6,35,30,-1,0,neighbour,neutral,NA,neutral,1,527,1,small,ok
sj01,31,male,3,5,15,15,13,1,product,unrelated,consistent,unrel_con,1,579,1,small,ok
sj01,31,male,4,3,15,12,15,1,neighbour,identity,NA,identity,1,869,1,small,ok
sj01,31,male,4,4,16,16,12,0,product,neighbour,consistent,neigh_con,1,652,1,small,ok
sj01,31,male,3,5,15,15,19,1,product,unrelated,consistent,unrel_con,1,637,1,small,ok
sj01,31,male,5,3,13,15,13,1,unrelated,identity,NA,identity,1,564,1,small,ok
sj01,31,male,7,5,41,35,41,0,unrelated,identity,NA,identity,1,544,1,large,ok
sj01,31,male,4,4,22,16,22,0,unrelated,identity,NA,identity,1,480,1,small,ok
sj01,31,male,4,4,16,16,22,0,product,unrelated,inconsistent,unrel_inc,1,572,1,small,ok
sj01,31,male,5,4,23,20,23,0,unrelated,identity,NA,identity,1,431,1,small,ok
sj01,31,male,5,7,40,35,-1,0,neighbour,neutral,NA,neutral,1,509,1,large,ok
sj01,31,male,5,6,30,30,23,0,product,unrelated,inconsistent,unrel_inc,1,645,1,small,ok
sj01,31,male,6,8,48,48,48,0,product,identity,NA,identity,1,802,1,large,ok
sj01,31,male,8,8,64,64,-1,1,product,neutral,NA,neutral,1,558,1,large,ok
sj01,31,male,5,5,20,25,-1,0,neighbour,neutral,NA,neutral,1,500,1,small,ok
sj01,31,male,3,3,9,9,-1,1,product,neutral,NA,neutral,1,540,1,small,ok
sj01,31,male,4,8,29,32,29,0,unrelated,identity,NA,identity,1,556,1,large,ok
sj01,31,male,5,6,25,30,-1,0,neighbour,neutral,NA,neutral,1,514,1,small,ok
sj01,31,male,7,3,19,21,-1,0,unrelated,neutral,NA,neutral,1,561,1,small,ok
sj01,31,male,3,3,9,9,9,1,product,identity,NA,identity,1,621,1,small,ok
sj01,31,male,3,5,15,15,15,1,product,identity,NA,identity,1,621,1,small,ok
sj01,31,male,6,5,23,30,-1,0,unrelated,neutral,NA,neutral,1,493,1,small,ok
sj01,31,male,4,4,13,16,13,0,unrelated,identity,NA,identity,1,511,1,small,ok
sj01,31,male,8,6,54,48,54,0,neighbour,identity,NA,identity,1,1230,1,large,ok
sj01,31,male,7,8,62,56,-1,1,unrelated,neutral,NA,neutral,1,764,1,large,ok
sj01,31,male,8,6,48,48,54,0,product,neighbour,inconsistent,neigh_inc,1,608,1,large,ok
sj01,31,male,7,4,31,28,31,0,unrelated,identity,NA,identity,1,532,1,small,ok
sj01,31,male,4,5,23,20,23,0,unrelated,identity,NA,identity,1,511,1,small,ok
sj01,31,male,3,3,9,9,-1,1,product,neutral,NA,neutral,1,525,1,small,ok
sj01,31,male,6,7,42,42,48,0,product,neighbour,consistent,neigh_con,1,804,2,large,ok
sj01,31,male,8,7,62,56,62,1,unrelated,identity,NA,identity,1,560,2,large,ok
sj01,31,male,6,8,53,48,-1,0,unrelated,neutral,NA,neutral,1,572,2,large,ok
sj01,31,male,5,7,35,35,41,0,product,unrelated,inconsistent,unrel_inc,0,750,2,large,ok
sj01,31,male,3,7,21,21,-1,0,product,neutral,NA,neutral,1,764,2,small,ok
sj01,31,male,4,7,28,28,31,0,product,unrelated,inconsistent,unrel_inc,1,529,2,small,ok
sj01,31,male,5,3,15,15,15,1,product,identity,NA,identity,1,438,2,small,ok
sj01,31,male,3,4,17,12,-1,1,unrelated,neutral,NA,neutral,1,580,2,small,ok
sj01,31,male,8,5,45,40,45,0,neighbour,identity,NA,identity,1,587,2,large,ok
sj01,31,male,7,6,47,42,-1,0,unrelated,neutral,NA,neutral,1,660,2,large,ok
sj01,31,male,4,7,31,28,-1,0,unrelated,neutral,NA,neutral,1,508,2,small,ok
sj01,31,male,7,4,23,28,-1,0,unrelated,neutral,NA,neutral,1,548,2,small,ok
sj01,31,male,8,8,56,64,-1,1,neighbour,neutral,NA,neutral,1,564,2,large,ok
sj01,31,male,4,8,36,32,36,0,neighbour,identity,NA,identity,0,705,2,large,ok
sj01,31,male,6,4,29,24,-1,1,unrelated,neutral,NA,neutral,1,673,2,small,ok
sj01,31,male,8,3,21,24,-1,1,neighbour,neutral,NA,neutral,1,607,2,small,ok
sj01,31,male,4,5,17,20,-1,0,unrelated,neutral,NA,neutral,1,483,2,small,ok
sj01,31,male,6,8,48,48,48,0,product,identity,NA,identity,1,687,2,large,ok
sj01,31,male,5,8,35,40,-1,0,neighbour,neutral,NA,neutral,1,452,2,large,ok
sj01,31,male,8,8,71,64,-1,1,unrelated,neutral,NA,neutral,1,542,2,large,ok
sj01,31,male,3,8,24,24,-1,1,product,neutral,NA,neutral,1,478,2,small,ok
sj01,31,male,3,5,12,15,-1,1,neighbour,neutral,NA,neutral,1,484,2,small,ok
sj01,31,male,7,5,30,35,-1,0,neighbour,neutral,NA,neutral,1,993,2,large,ok
sj01,31,male,6,4,29,24,29,1,unrelated,identity,NA,identity,1,463,2,small,ok
sj01,31,male,4,4,20,16,20,0,neighbour,identity,NA,identity,1,447,2,small,ok
sj01,31,male,4,7,31,28,31,0,unrelated,identity,NA,identity,1,452,2,small,ok
sj01,31,male,3,4,12,12,17,1,product,unrelated,consistent,unrel_con,1,526,2,small,ok
sj01,31,male,8,5,35,40,-1,0,neighbour,neutral,NA,neutral,1,450,2,large,ok
sj01,31,male,6,6,42,36,-1,0,neighbour,neutral,NA,neutral,1,460,2,large,ok
sj01,31,male,3,4,15,12,-1,1,neighbour,neutral,NA,neutral,1,492,2,small,ok
sj01,31,male,4,8,32,32,37,0,product,unrelated,consistent,unrel_con,0,447,2,large,ok
sj01,31,male,3,4,17,12,17,1,unrelated,identity,NA,identity,1,611,2,small,ok
sj01,31,male,6,7,48,42,-1,0,neighbour,neutral,NA,neutral,1,765,2,large,ok
sj01,31,male,6,3,14,18,-1,0,unrelated,neutral,NA,neutral,1,721,2,small,ok
sj01,31,male,8,4,29,32,29,0,unrelated,identity,NA,identity,1,717,2,large,ok
sj01,31,male,6,7,47,42,-1,0,unrelated,neutral,NA,neutral,1,563,2,large,ok
sj01,31,male,7,3,19,21,19,0,unrelated,identity,NA,identity,1,432,2,small,ok
sj01,31,male,7,6,42,42,42,0,product,identity,NA,identity,1,590,2,large,ok
sj01,31,male,7,5,35,35,41,0,product,unrelated,inconsistent,unrel_inc,1,716,2,large,ok
sj01,31,male,8,6,48,48,48,0,product,identity,NA,identity,1,610,2,large,ok
sj01,31,male,4,7,23,28,-1,0,unrelated,neutral,NA,neutral,1,637,2,small,ok
sj01,31,male,4,8,32,32,29,0,product,unrelated,inconsistent,unrel_inc,1,739,2,large,ok
sj01,31,male,7,5,31,35,-1,0,unrelated,neutral,NA,neutral,1,421,2,large,ok
sj01,31,male,5,7,35,35,35,0,product,identity,NA,identity,1,509,2,large,ok
sj01,31,male,5,6,34,30,-1,0,unrelated,neutral,NA,neutral,1,427,2,small,ok
sj01,31,male,5,6,34,30,34,0,unrelated,identity,NA,identity,1,452,2,small,ok
sj01,31,male,8,7,47,56,47,1,unrelated,identity,NA,identity,1,542,2,large,ok
sj01,31,male,7,8,47,56,47,1,unrelated,identity,NA,identity,1,574,2,large,ok
sj01,31,male,4,5,20,20,20,0,product,identity,NA,identity,1,560,2,small,ok
sj01,31,male,7,6,37,42,37,0,unrelated,identity,NA,identity,1,477,2,large,ok
sj01,31,male,8,8,64,64,64,1,product,identity,NA,identity,1,547,2,large,ok
sj01,31,male,8,8,64,64,56,1,product,neighbour,inconsistent,neigh_inc,1,435,2,large,ok
sj01,31,male,4,7,28,28,-1,0,product,neutral,NA,neutral,0,529,2,small,ok
sj01,31,male,5,5,25,25,25,0,product,identity,NA,identity,1,460,2,small,ok
sj01,31,male,3,5,12,15,12,1,neighbour,identity,NA,identity,1,459,2,small,ok
sj01,31,male,4,6,22,24,-1,1,unrelated,neutral,NA,neutral,1,556,2,small,ok
sj01,31,male,3,3,12,9,-1,1,neighbour,neutral,NA,neutral,1,482,2,small,ok
sj01,31,male,6,4,24,24,24,1,product,identity,NA,identity,1,542,2,small,ok
sj01,31,male,4,8,28,32,-1,0,neighbour,neutral,NA,neutral,1,542,2,large,ok
sj01,31,male,8,4,29,32,-1,0,unrelated,neutral,NA,neutral,1,975,2,large,ok
sj01,31,male,8,5,40,40,40,0,product,identity,NA,identity,1,705,2,large,ok
sj01,31,male,3,5,15,15,-1,1,product,neutral,NA,neutral,1,497,2,small,ok
sj01,31,male,6,8,48,48,42,0,product,neighbour,consistent,neigh_con,0,451,2,large,ok
sj01,31,male,6,7,42,42,42,0,product,identity,NA,identity,1,542,2,large,ok
sj01,31,male,3,6,15,18,15,0,neighbour,identity,NA,identity,1,686,2,small,ok
sj01,31,male,6,3,18,18,15,0,product,neighbour,consistent,neigh_con,1,482,2,small,ok
sj01,31,male,8,4,32,32,-1,0,product,neutral,NA,neutral,0,414,2,large,ok
sj01,31,male,8,6,48,48,53,0,product,unrelated,inconsistent,unrel_inc,1,480,2,large,ok
sj01,31,male,5,5,22,25,-1,0,unrelated,neutral,NA,neutral,1,477,2,small,ok
sj01,31,male,5,8,44,40,44,0,unrelated,identity,NA,identity,1,451,2,large,ok
sj01,31,male,3,3,6,9,6,1,neighbour,identity,NA,identity,1,493,2,small,ok
sj01,31,male,6,3,18,18,-1,0,product,neutral,NA,neutral,1,543,2,small,ok
sj01,31,male,5,7,30,35,30,0,neighbour,identity,NA,identity,0,499,3,large,ok
sj01,31,male,3,6,18,18,15,0,product,neighbour,consistent,neigh_con,1,485,3,small,ok
sj01,31,male,3,7,19,21,19,0,unrelated,identity,NA,identity,1,433,3,small,ok
sj01,31,male,5,7,31,35,31,0,unrelated,identity,NA,identity,1,399,3,large,ok
sj01,31,male,8,7,56,56,56,1,product,identity,NA,identity,1,619,3,large,ok
sj01,31,male,7,3,21,21,-1,0,product,neutral,NA,neutral,1,620,3,small,ok
sj01,31,male,7,7,56,49,56,0,neighbour,identity,NA,identity,1,476,3,large,ok
sj01,31,male,3,7,23,21,-1,0,unrelated,neutral,NA,neutral,1,498,3,small,ok
sj01,31,male,5,3,18,15,-1,1,neighbour,neutral,NA,neutral,1,532,3,small,ok
sj01,31,male,4,3,12,12,-1,1,product,neutral,NA,neutral,1,559,3,small,ok
sj01,31,male,6,7,36,42,-1,0,neighbour,neutral,NA,neutral,1,549,3,large,ok
sj01,31,male,8,7,63,56,-1,1,neighbour,neutral,NA,neutral,1,453,3,large,ok
sj01,31,male,4,3,9,12,-1,1,neighbour,neutral,NA,neutral,1,511,3,small,ok
sj01,31,male,4,5,20,20,16,0,product,neighbour,inconsistent,neigh_inc,1,606,3,small,ok
sj01,31,male,3,7,21,21,23,0,product,unrelated,consistent,unrel_con,1,482,3,small,ok
sj01,31,male,4,4,16,16,-1,0,product,neutral,NA,neutral,1,462,3,small,ok
sj01,31,male,8,7,56,56,49,1,product,neighbour,inconsistent,neigh_inc,0,590,3,large,ok
sj01,31,male,4,6,24,24,24,1,product,identity,NA,identity,1,476,3,small,ok
sj01,31,male,8,3,22,24,22,1,unrelated,identity,NA,identity,1,771,3,small,ok
sj01,31,male,4,5,24,20,-1,0,neighbour,neutral,NA,neutral,1,845,3,small,ok
sj01,31,male,5,6,30,30,-1,0,product,neutral,NA,neutral,1,529,3,small,ok
sj01,31,male,5,5,25,25,25,0,product,identity,NA,identity,1,507,3,small,ok
sj01,31,male,5,6,30,30,-1,0,product,neutral,NA,neutral,1,483,3,small,ok
sj01,31,male,6,4,24,24,24,1,product,identity,NA,identity,1,480,3,small,ok
sj01,31,male,3,3,12,9,12,1,neighbour,identity,NA,identity,1,444,3,small,ok
sj01,31,male,3,6,18,18,-1,0,product,neutral,NA,neutral,0,496,3,small,ok
sj01,31,male,4,4,16,16,16,0,product,identity,NA,identity,1,498,3,small,ok
sj01,31,male,8,5,44,40,-1,0,unrelated,neutral,NA,neutral,1,500,3,large,ok
sj01,31,male,4,7,28,28,23,0,product,unrelated,consistent,unrel_con,1,509,3,small,ok
sj01,31,male,4,3,12,12,12,1,product,identity,NA,identity,1,501,3,small,ok
sj01,31,male,8,4,32,32,29,0,product,unrelated,inconsistent,unrel_inc,1,509,3,large,ok
sj01,31,male,6,8,54,48,-1,0,neighbour,neutral,NA,neutral,0,732,3,large,ok
sj01,31,male,3,3,6,9,-1,1,neighbour,neutral,NA,neutral,1,494,3,small,ok
sj01,31,male,5,4,17,20,17,0,unrelated,identity,NA,identity,1,512,3,small,ok
sj01,31,male,5,8,37,40,-1,0,unrelated,neutral,NA,neutral,1,574,3,large,ok
sj01,31,male,3,8,24,24,21,1,product,neighbour,consistent,neigh_con,1,656,3,small,ok
sj01,31,male,3,7,21,21,21,0,product,identity,NA,identity,1,595,3,small,ok
sj01,31,male,8,4,32,32,37,0,product,unrelated,consistent,unrel_con,1,625,3,large,ok
sj01,31,male,4,6,24,24,-1,1,product,neutral,NA,neutral,1,673,3,small,ok
sj01,31,male,5,3,13,15,-1,1,unrelated,neutral,NA,neutral,1,479,3,small,ok
sj01,31,male,8,8,56,64,56,1,neighbour,identity,NA,identity,1,459,3,large,ok
sj01,31,male,4,6,20,24,20,1,neighbour,identity,NA,identity,1,524,3,small,ok
sj01,31,male,8,5,37,40,37,0,unrelated,identity,NA,identity,1,416,3,large,ok
sj01,31,male,7,5,35,35,31,0,product,unrelated,consistent,unrel_con,1,562,3,large,ok
sj01,31,male,8,8,64,64,-1,1,product,neutral,NA,neutral,1,590,3,large,ok
sj01,31,male,3,5,15,15,-1,1,product,neutral,NA,neutral,1,493,3,small,ok
sj01,31,male,6,6,36,36,42,0,product,neighbour,inconsistent,neigh_inc,1,591,3,large,ok
sj01,31,male,5,7,41,35,41,0,unrelated,identity,NA,identity,1,462,3,large,ok
sj01,31,male,7,6,42,42,42,0,product,identity,NA,identity,1,685,3,large,ok
sj01,31,male,7,4,28,28,-1,0,product,neutral,NA,neutral,1,513,3,small,ok
sj01,31,male,8,6,42,48,42,0,neighbour,identity,NA,identity,1,720,3,large,ok
sj01,31,male,7,4,28,28,32,0,product,neighbour,inconsistent,neigh_inc,1,572,3,small,ok
sj01,31,male,3,4,12,12,15,1,product,neighbour,consistent,neigh_con,1,654,3,small,ok
sj01,31,male,6,6,41,36,-1,0,unrelated,neutral,NA,neutral,1,481,3,large,ok
sj01,31,male,5,6,25,30,25,0,neighbour,identity,NA,identity,1,492,3,small,ok
sj01,31,male,6,7,36,42,36,0,neighbour,identity,NA,identity,1,719,3,large,ok
sj01,31,male,5,8,35,40,35,0,neighbour,identity,NA,identity,1,437,3,large,ok
sj01,31,male,7,5,30,35,30,0,neighbour,identity,NA,identity,1,563,3,large,ok
sj01,31,male,3,4,15,12,15,1,neighbour,identity,NA,identity,1,544,3,small,ok
sj01,31,male,5,5,25,25,-1,0,product,neutral,NA,neutral,1,495,3,small,ok
sj01,31,male,8,5,40,40,37,0,product,unrelated,inconsistent,unrel_inc,1,578,3,large,ok
sj01,31,male,4,5,16,20,16,0,neighbour,identity,NA,identity,1,548,3,small,ok
sj01,31,male,8,4,37,32,-1,0,unrelated,neutral,NA,neutral,1,485,3,large,ok
sj01,31,male,5,5,30,25,-1,0,neighbour,neutral,NA,neutral,1,497,3,small,ok
sj01,31,male,6,6,36,36,41,0,product,unrelated,inconsistent,unrel_inc,1,563,3,large,ok
sj01,31,male,6,4,24,24,22,1,product,unrelated,consistent,unrel_con,1,575,3,small,ok
sj01,31,male,4,7,28,28,32,0,product,neighbour,inconsistent,neigh_inc,1,513,3,small,ok
sj01,31,male,8,5,35,40,35,0,neighbour,identity,NA,identity,1,415,3,large,ok
sj01,31,male,5,6,30,30,34,0,product,unrelated,consistent,unrel_con,1,626,3,small,ok
sj01,31,male,3,6,18,18,21,0,product,neighbour,inconsistent,neigh_inc,1,706,3,small,ok
sj01,31,male,6,6,30,36,30,0,neighbour,identity,NA,identity,1,514,3,large,ok
sj01,31,male,7,6,42,42,47,0,product,unrelated,consistent,unrel_con,1,832,3,large,ok
sj01,31,male,3,7,21,21,-1,0,product,neutral,NA,neutral,1,535,4,small,ok
sj01,31,male,7,8,56,56,-1,1,product,neutral,NA,neutral,1,673,4,large,ok
sj01,31,male,5,6,35,30,35,0,neighbour,identity,NA,identity,1,495,4,small,ok
sj01,31,male,3,5,13,15,-1,1,unrelated,neutral,NA,neutral,1,577,4,small,ok
sj01,31,male,7,5,40,35,-1,0,neighbour,neutral,NA,neutral,1,692,4,large,ok
sj01,31,male,7,5,35,35,35,0,product,identity,NA,identity,1,590,4,large,ok
sj01,31,male,3,7,21,21,18,0,product,neighbour,inconsistent,neigh_inc,1,604,4,small,ok
sj01,31,male,5,7,35,35,30,0,product,neighbour,consistent,neigh_con,1,657,4,large,ok
sj01,31,male,6,4,20,24,20,1,neighbour,identity,NA,identity,1,610,4,small,ok
sj01,31,male,3,8,24,24,22,1,product,unrelated,consistent,unrel_con,1,669,4,small,ok
sj01,31,male,8,7,56,56,47,1,product,unrelated,inconsistent,unrel_inc,0,885,4,large,ok
sj01,31,male,3,3,9,9,7,1,product,unrelated,consistent,unrel_con,1,545,4,small,ok
sj01,31,male,6,5,30,30,-1,0,product,neutral,NA,neutral,1,897,4,small,ok
sj01,31,male,3,4,12,12,12,1,product,identity,NA,identity,1,548,4,small,ok
sj01,31,male,3,6,18,18,14,0,product,unrelated,consistent,unrel_con,1,964,4,small,ok
sj01,31,male,3,5,18,15,18,1,neighbour,identity,NA,identity,1,528,4,small,ok
sj01,31,male,7,8,56,56,56,1,product,identity,NA,identity,1,660,4,large,ok
sj01,31,male,8,4,36,32,36,0,neighbour,identity,NA,identity,0,877,4,large,ok
sj01,31,male,8,7,47,56,-1,1,unrelated,neutral,NA,neutral,1,659,4,large,ok
sj01,31,male,6,6,36,36,36,0,product,identity,NA,identity,1,630,4,large,ok
sj01,31,male,7,3,24,21,-1,0,neighbour,neutral,NA,neutral,1,459,4,small,ok
sj01,31,male,6,8,48,48,-1,0,product,neutral,NA,neutral,1,748,4,large,ok
sj01,31,male,8,3,24,24,24,1,product,identity,NA,identity,1,628,4,small,ok
sj01,31,male,5,3,15,15,15,1,product,identity,NA,identity,1,628,4,small,ok
sj01,31,male,4,3,17,12,-1,1,unrelated,neutral,NA,neutral,1,453,4,small,ok
sj01,31,male,5,7,35,35,35,0,product,identity,NA,identity,1,542,4,large,ok
sj01,31,male,7,7,49,49,49,0,product,identity,NA,identity,1,559,4,large,ok
sj01,31,male,8,6,41,48,-1,0,unrelated,neutral,NA,neutral,1,597,4,large,ok
sj01,31,male,7,7,55,49,-1,0,unrelated,neutral,NA,neutral,1,515,4,large,ok
sj01,31,male,8,5,45,40,-1,0,neighbour,neutral,NA,neutral,1,497,4,large,ok
sj01,31,male,4,7,24,28,24,0,neighbour,identity,NA,identity,1,563,4,small,ok
sj01,31,male,3,6,18,18,18,0,product,identity,NA,identity,1,704,4,small,ok
sj01,31,male,6,3,15,18,15,0,neighbour,identity,NA,identity,1,448,4,small,ok
sj01,31,male,7,4,28,28,23,0,product,unrelated,consistent,unrel_con,1,596,4,small,ok
sj01,31,male,5,7,41,35,-1,0,unrelated,neutral,NA,neutral,1,450,4,large,ok
sj01,31,male,7,3,21,21,23,0,product,unrelated,consistent,unrel_con,0,797,4,small,ok
sj01,31,male,3,8,22,24,-1,1,unrelated,neutral,NA,neutral,1,515,4,small,ok
sj01,31,male,7,6,36,42,-1,0,neighbour,neutral,NA,neutral,1,625,4,large,ok
sj01,31,male,5,4,23,20,-1,0,unrelated,neutral,NA,neutral,1,465,4,small,ok
sj01,31,male,6,8,48,48,41,0,product,unrelated,consistent,unrel_con,1,609,4,large,ok
sj01,31,male,5,4,20,20,17,0,product,unrelated,inconsistent,unrel_inc,1,588,4,small,ok
sj01,31,male,6,8,48,48,53,0,product,unrelated,inconsistent,unrel_inc,1,756,4,large,ok
sj01,31,male,7,7,49,49,42,0,product,neighbour,consistent,neigh_con,1,578,4,large,ok
sj01,31,male,7,5,35,35,30,0,product,neighbour,consistent,neigh_con,1,580,4,large,ok
sj01,31,male,4,7,23,28,23,0,unrelated,identity,NA,identity,1,476,4,small,ok
sj01,31,male,7,6,48,42,48,0,neighbour,identity,NA,identity,0,563,4,large,ok
sj01,31,male,8,4,32,32,32,0,product,identity,NA,identity,0,639,4,large,ok
sj01,31,male,4,7,32,28,32,0,neighbour,identity,NA,identity,1,469,4,small,ok
sj01,31,male,7,8,56,56,49,1,product,neighbour,inconsistent,neigh_inc,1,619,4,large,ok
sj01,31,male,6,7,42,42,42,0,product,identity,NA,identity,1,1068,4,large,ok
sj01,31,male,6,6,36,36,-1,0,product,neutral,NA,neutral,1,484,4,large,ok
sj01,31,male,6,5,30,30,25,0,product,neighbour,inconsistent,neigh_inc,1,496,4,small,ok
sj01,31,male,7,5,35,35,-1,0,product,neutral,NA,neutral,1,658,4,large,ok
sj01,31,male,3,8,24,24,26,1,product,unrelated,consistent,unrel_con,1,485,4,small,ok
sj01,31,male,4,3,9,12,9,1,neighbour,identity,NA,identity,1,497,4,small,ok
sj01,31,male,7,4,28,28,24,0,product,neighbour,consistent,neigh_con,1,499,4,small,ok
sj01,31,male,7,3,21,21,-1,0,product,neutral,NA,neutral,1,619,4,small,ok
sj01,31,male,4,6,24,24,-1,1,product,neutral,NA,neutral,1,508,4,small,ok
sj01,31,male,7,5,35,35,40,0,product,neighbour,inconsistent,neigh_inc,1,484,4,large,ok
sj01,31,male,7,8,63,56,63,1,neighbour,identity,NA,identity,1,496,4,large,ok
sj01,31,male,8,8,71,64,71,1,unrelated,identity,NA,identity,1,450,4,large,ok
sj01,31,male,7,3,21,21,21,0,product,identity,NA,identity,1,444,4,small,ok
sj01,31,male,4,4,16,16,16,0,product,identity,NA,identity,1,513,4,small,ok
sj01,31,male,8,5,40,40,-1,0,product,neutral,NA,neutral,1,511,4,large,ok
sj01,31,male,7,4,32,28,-1,0,neighbour,neutral,NA,neutral,1,493,4,small,ok
sj01,31,male,3,5,15,15,12,1,product,neighbour,consistent,neigh_con,1,479,4,small,ok
sj01,31,male,5,3,15,15,18,1,product,neighbour,consistent,neigh_con,1,507,4,small,ok
sj01,31,male,3,7,24,21,24,0,neighbour,identity,NA,identity,1,484,4,small,ok
sj01,31,male,8,3,21,24,21,1,neighbour,identity,NA,identity,1,512,4,small,ok
sj01,31,male,7,3,21,21,19,0,product,unrelated,inconsistent,unrel_inc,1,606,4,small,ok
sj01,31,male,4,8,37,32,-1,0,unrelated,neutral,NA,neutral,1,498,4,large,ok
sj01,31,male,4,3,12,12,7,1,product,unrelated,inconsistent,unrel_inc,1,565,4,small,ok
sj01,31,male,4,8,32,32,32,0,product,identity,NA,identity,1,585,5,large,ok
sj01,31,male,5,8,40,40,37,0,product,unrelated,inconsistent,unrel_inc,1,513,5,large,ok
sj01,31,male,5,6,30,30,30,0,product,identity,NA,identity,1,528,5,small,ok
sj01,31,male,4,4,13,16,-1,0,unrelated,neutral,NA,neutral,1,500,5,small,ok
sj01,31,male,4,8,32,32,-1,0,product,neutral,NA,neutral,1,556,5,large,ok
sj01,31,male,8,8,64,64,72,1,product,neighbour,inconsistent,neigh_inc,1,530,5,large,ok
sj01,31,male,3,4,7,12,-1,1,unrelated,neutral,NA,neutral,1,476,5,small,ok
sj01,31,male,4,7,32,28,-1,0,neighbour,neutral,NA,neutral,1,451,5,small,ok
sj01,31,male,5,3,15,15,19,1,product,unrelated,consistent,unrel_con,1,493,5,small,ok
sj01,31,male,3,8,27,24,-1,1,neighbour,neutral,NA,neutral,1,431,5,small,ok
