sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,prime_decade_consistency,prime_cond,SOA,acc,RT,block,problem_size,timing
sj00,31,male,5,7,35,35,30,0,product,neighbour,consistent,neigh_con,SOA_120,1,617,1,large,ok
sj00,31,male,7,3,18,21,-1,0,neighbour,neutral,NA,neutral,SOA_120,0,1066,1,small,ok
sj00,31,male,5,3,15,15,23,0,product,unrelated,inconsistent,unrel_inc,SOA_120,1,827,1,small,ok
sj00,31,male,5,8,40,40,32,0,product,neighbour,inconsistent,neigh_inc,SOA_120,1,1563,1,large,ok
sj00,31,male,3,5,15,15,23,0,product,unrelated,inconsistent,unrel_inc,SOA_070,1,695,1,small,ok
sj00,31,male,5,4,16,20,-1,0,neighbour,neutral,NA,neutral,SOA_170,1,1050,1,small,ok
sj00,31,male,7,3,19,21,-1,0,unrelated,neutral,NA,neutral,SOA_070,1,1124,1,small,ok
sj00,31,male,3,6,21,18,18,0,neighbour,product,NA,NA,SOA_120,0,1096,1,small,ok
sj00,31,male,5,8,33,40,40,0,unrelated,product,NA,NA,SOA_170,1,1322,1,large,ok
sj00,31,male,6,6,30,36,-1,0,neighbour,neutral,NA,neutral,SOA_070,1,1622,1,large,ok
sj00,31,male,8,4,32,32,28,0,product,neighbour,inconsistent,neigh_inc,SOA_120,1,1367,1,large,ok
sj00,31,male,9,6,63,54,-1,1,filler_neighbour,neutral,NA,neutral,SOA_070,1,1131,1,large,ok
sj00,31,male,6,5,24,30,-1,0,neighbour,neutral,NA,neutral,SOA_170,1,1605,1,small,ok
sj00,31,male,7,7,49,49,56,0,product,neighbour,inconsistent,neigh_inc,SOA_070,1,681,1,large,ok
sj00,31,male,4,7,24,28,-1,0,neighbour,neutral,NA,neutral,SOA_070,0,1094,1,small,ok
sj00,31,male,7,4,28,28,32,0,product,neighbour,inconsistent,neigh_inc,SOA_070,0,1175,1,small,ok
sj00,31,male,3,7,18,21,21,0,neighbour,product,NA,NA,SOA_170,0,1018,1,small,ok
sj00,31,male,6,7,42,42,36,0,product,neighbour,inconsistent,neigh_inc,SOA_170,1,1228,1,large,ok
