sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,prime_decade_consistency,prime_cond,SOA,acc,RT,block,problem_size,timing
sj01,24,female,5,4,17,20,-1,0,unrelated,neutral,NA,neutral,SOA_220,1,844,1,small,ok
sj01,24,female,5,7,35,35,30,0,product,neighbour,consistent,neigh_con,SOA_220,1,1128,1,large,ok
sj01,24,female,4,4,20,16,16,0,neighbour,product,NA,NA,SOA_220,1,995,1,small,ok
sj01,24,female,8,5,40,40,32,0,product,neighbour,inconsistent,neigh_inc,SOA_220,1,633,1,large,ok
sj01,24,female,4,8,37,32,-1,0,unrelated,neutral,NA,neutral,SOA_050,1,1319,1,large,ok
sj01,24,female,6,8,48,48,53,0,product,unrelated,inconsistent,unrel_inc,SOA_050,1,1747,1,large,ok
sj01,24,female,4,5,20,20,17,0,product,unrelated,inconsistent,unrel_inc,SOA_220,1,651,1,small,ok
sj01,24,female,3,7,21,21,19,0,product,unrelated,inconsistent,unrel_inc,SOA_220,1,677,1,small,ok
sj01,24,female,7,3,19,21,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,700,1,small,ok
sj01,24,female,6,3,17,18,-1,0,unrelated,neutral,NA,neutral,SOA_050,1,772,1,small,ok
sj01,24,female,6,7,42,42,-1,0,product,neutral,NA,neutral,SOA_220,1,614,1,large,ok
sj01,24,female,4,5,20,20,23,0,product,unrelated,consistent,unrel_con,SOA_220,1,568,1,small,ok
sj01,24,female,7,3,18,21,21,0,neighbour,product,NA,NA,SOA_170,1,562,1,small,ok
sj01,24,female,4,4,16,16,12,0,product,neighbour,consistent,neigh_con,SOA_170,1,391,1,small,ok
sj01,24,female,3,6,18,18,-1,0,product,neutral,NA,neutral,SOA_220,1,644,1,small,ok
sj01,24,female,4,4,13,16,16,0,unrelated,product,NA,NA,SOA_220,1,777,1,small,ok
sj01,24,female,4,4,23,16,16,0,unrelated,product,NA,NA,SOA_220,1,555,1,small,ok
sj01,24,female,6,3,18,18,17,0,product,unrelated,consistent,unrel_con,SOA_050,1,1993,1,small,ok
sj01,24,female,8,4,29,32,32,0,unrelated,product,NA,NA,SOA_220,1,791,1,large,ok
sj01,24,female,5,6,22,30,30,0,unrelated,product,NA,NA,SOA_170,1,517,1,small,ok
sj01,24,female,5,6,36,30,30,0,neighbour,product,NA,NA,SOA_050,1,1963,1,small,ok
sj01,24,female,7,5,41,35,35,0,unrelated,product,NA,NA,SOA_170,1,1800,1,large,ok
sj01,24,female,6,6,36,36,31,0,product,unrelated,consistent,unrel_con,SOA_050,1,548,1,large,ok
sj01,24,female,3,5,20,15,-1,0,neighbour,neutral,NA,neutral,SOA_050,0,NA,1,small,ok
sj01,24,female,5,5,20,25,25,0,neighbour,product,NA,NA,SOA_170,1,641,1,small,ok
sj01,24,female,7,3,21,21,24,0,product,neighbour,consistent,neigh_con,SOA_170,1,565,1,small,ok
sj01,24,female,5,3,23,15,15,0,unrelated,product,NA,NA,SOA_050,1,1097,1,small,ok
sj01,24,female,5,3,10,15,-1,0,neighbour,neutral,NA,neutral,SOA_220,1,683,1,small,ok
sj01,24,female,6,6,41,36,-1,0,unrelated,neutral,NA,neutral,SOA_220,1,712,1,large,ok
sj01,24,female,6,6,30,36,-1,0,neighbour,neutral,NA,neutral,SOA_050,1,773,1,large,ok
sj01,24,female,6,8,48,48,-1,0,product,neutral,NA,neutral,SOA_050,1,616,1,large,ok
sj01,24,female,8,7,48,56,-1,1,filler_neighbour,neutral,NA,neutral,SOA_220,1,1306,1,large,ok
sj01,24,female,6,3,18,18,15,0,product,neighbour,consistent,neigh_con,SOA_220,1,442,1,small,ok
sj01,24,female,8,6,53,48,48,0,unrelated,product,NA,NA,SOA_170,1,630,1,large,ok
sj01,24,female,7,7,42,49,49,0,neighbour,product,NA,NA,SOA_170,1,788,1,large,ok
sj01,24,female,4,8,29,32,-1,0,unrelated,neutral,NA,neutral,SOA_050,1,1101,1,large,ok
sj01,24,female,8,4,32,32,36,0,product,neighbour,consistent,neigh_con,SOA_220,1,1285,1,large,ok
sj01,24,female,8,6,48,48,-1,0,product,neutral,NA,neutral,SOA_220,1,601,1,large,ok
sj01,24,female,3,5,10,15,15,0,neighbour,product,NA,NA,SOA_050,1,517,1,small,ok
sj01,24,female,4,5,17,20,-1,0,unrelated,neutral,NA,neutral,SOA_220,1,507,1,small,ok
sj01,24,female,6,7,42,42,47,0,product,unrelated,consistent,unrel_con,SOA_170,1,443,1,large,ok
sj01,24,female,5,4,24,20,-1,0,neighbour,neutral,NA,neutral,SOA_170,1,1048,1,small,ok
sj01,24,female,7,5,35,35,-1,0,product,neutral,NA,neutral,SOA_220,1,572,1,large,ok
sj01,24,female,6,3,15,18,18,0,neighbour,product,NA,NA,SOA_050,1,502,1,small,ok
sj01,24,female,3,5,15,15,10,0,product,neighbour,consistent,neigh_con,SOA_220,1,806,1,small,ok
sj01,24,female,4,8,32,32,28,0,product,neighbour,inconsistent,neigh_inc,SOA_220,1,1546,1,large,ok
sj01,24,female,7,3,24,21,-1,0,neighbour,neutral,NA,neutral,SOA_220,1,410,1,small,ok
sj01,24,female,8,4,36,32,32,0,neighbour,product,NA,NA,SOA_170,0,740,1,large,ok
sj01,24,female,8,5,40,40,48,0,product,neighbour,consistent,neigh_con,SOA_050,1,533,1,large,ok
sj01,24,female,5,5,30,25,-1,0,neighbour,neutral,NA,neutral,SOA_050,1,1431,1,small,ok
sj01,24,female,3,5,20,15,15,0,neighbour,product,NA,NA,SOA_220,0,1541,1,small,ok
sj01,24,female,4,5,16,20,20,0,neighbour,product,NA,NA,SOA_170,1,725,1,small,ok
sj01,24,female,8,7,56,56,-1,1,filler_product,neutral,NA,neutral,SOA_050,0,762,1,large,ok
sj01,24,female,7,5,35,35,41,0,product,unrelated,inconsistent,unrel_inc,SOA_050,1,662,1,large,ok
sj01,24,female,4,4,16,16,20,0,product,neighbour,inconsistent,neigh_inc,SOA_220,1,502,1,small,ok
sj01,24,female,4,4,16,16,23,0,product,unrelated,inconsistent,unrel_inc,SOA_220,1,502,1,small,ok
sj01,24,female,3,7,19,21,-1,0,unrelated,neutral,NA,neutral,SOA_220,1,630,1,small,ok
sj01,24,female,4,5,23,20,20,0,unrelated,product,NA,NA,SOA_050,1,452,1,small,ok
sj01,24,female,5,5,22,25,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,550,1,small,ok
sj01,24,female,5,5,20,25,-1,0,neighbour,neutral,NA,neutral,SOA_170,1,501,1,small,ok
sj01,24,female,4,4,20,16,-1,0,neighbour,neutral,NA,neutral,SOA_170,1,469,1,small,ok
sj01,24,female,4,4,23,16,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,531,1,small,ok
sj01,24,female,5,6,30,30,38,0,product,unrelated,consistent,unrel_con,SOA_170,1,597,1,small,ok
sj01,24,female,5,3,15,15,-1,0,product,neutral,NA,neutral,SOA_170,1,555,1,small,ok
sj01,24,female,5,5,22,25,-1,0,unrelated,neutral,NA,neutral,SOA_220,1,665,1,small,ok
sj01,24,female,6,3,23,18,-1,0,unrelated,neutral,NA,neutral,SOA_220,1,569,1,small,ok
sj01,24,female,6,6,42,36,-1,0,neighbour,neutral,NA,neutral,SOA_220,1,836,1,large,ok
sj01,24,female,5,3,15,15,23,0,product,unrelated,inconsistent,unrel_inc,SOA_220,0,634,1,small,ok
sj01,24,female,5,3,10,15,-1,0,neighbour,neutral,NA,neutral,SOA_220,1,520,1,small,ok
sj01,24,female,6,6,31,36,36,0,unrelated,product,NA,NA,SOA_050,1,549,1,large,ok
sj01,24,female,7,6,42,42,36,0,product,neighbour,inconsistent,neigh_inc,SOA_170,1,716,1,large,ok
sj01,24,female,7,5,30,35,35,0,neighbour,product,NA,NA,SOA_220,1,1979,1,large,ok
sj01,24,female,5,7,40,35,35,0,neighbour,product,NA,NA,SOA_220,1,1603,1,large,ok
sj01,24,female,4,4,12,16,16,0,neighbour,product,NA,NA,SOA_050,1,535,1,small,ok
sj01,24,female,5,6,30,30,22,0,product,unrelated,inconsistent,unrel_inc,SOA_050,1,1017,1,small,ok
sj01,24,female,4,7,34,28,28,0,unrelated,product,NA,NA,SOA_170,0,1387,1,small,ok
sj01,24,female,3,6,15,18,18,0,neighbour,product,NA,NA,SOA_170,1,780,1,small,ok
sj01,24,female,5,8,48,40,-1,0,neighbour,neutral,NA,neutral,SOA_220,0,1108,1,large,ok
sj01,24,female,5,5,25,25,22,0,product,unrelated,consistent,unrel_con,SOA_050,1,556,1,small,ok
sj01,24,female,6,7,37,42,-1,0,unrelated,neutral,NA,neutral,SOA_220,1,650,1,large,ok
sj01,24,female,4,8,32,32,-1,0,product,neutral,NA,neutral,SOA_050,1,1428,1,large,ok
sj01,24,female,6,6,36,36,30,0,product,neighbour,consistent,neigh_con,SOA_050,1,546,1,large,ok
sj01,24,female,5,6,22,30,-1,0,unrelated,neutral,NA,neutral,SOA_220,1,923,1,small,ok
sj01,24,female,8,6,48,48,42,0,product,neighbour,consistent,neigh_con,SOA_050,1,503,1,large,ok
sj01,24,female,7,6,42,42,37,0,product,unrelated,inconsistent,unrel_inc,SOA_220,1,1271,1,large,ok
sj01,24,female,5,5,30,25,25,0,neighbour,product,NA,NA,SOA_170,1,469,1,small,ok
sj01,24,female,5,4,23,20,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,484,1,small,ok
sj01,24,female,4,4,16,16,23,0,product,unrelated,inconsistent,unrel_inc,SOA_170,1,552,1,small,ok
sj01,24,female,4,8,32,32,36,0,product,neighbour,consistent,neigh_con,SOA_050,1,630,1,large,ok
sj01,24,female,5,7,40,35,-1,0,neighbour,neutral,NA,neutral,SOA_170,0,948,1,large,ok
sj01,24,female,7,7,46,49,-1,0,unrelated,neutral,NA,neutral,SOA_170,1,844,1,large,ok
sj01,24,female,4,4,16,16,20,0,product,neighbour,inconsistent,neigh_inc,SOA_050,1,424,1,small,ok
sj01,24,female,7,6,37,42,42,0,unrelated,product,NA,NA,SOA_220,1,1208,1,large,ok
sj01,24,female,8,4,28,32,-1,0,neighbour,neutral,NA,neutral,SOA_050,0,NA,2,large,ok
sj01,24,female,6,8,42,48,-1,0,neighbour,neutral,NA,neutral,SOA_050,0,929,2,large,ok
sj01,24,female,5,4,24,20,20,0,neighbour,product,NA,NA,SOA_050,1,819,2,small,ok
