sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,SOA,acc,RT,block,problem_size,timing
sj00,31,male,3,7,19,21,-1,0,not_product,letter,SOA_070,1,438,1,small,ok
sj00,31,male,4,5,17,20,-1,0,not_product,letter,SOA_120,1,813,1,small,ok
sj00,31,male,3,6,23,18,-1,0,not_product,letter,SOA_170,1,551,1,small,ok
sj00,31,male,4,8,32,32,-1,0,product,letter,SOA_070,1,549,1,large,ok
sj00,31,male,5,8,48,40,-1,0,not_product,letter,SOA_170,1,653,1,large,ok
sj00,31,male,5,6,30,30,22,0,product,number,SOA_120,1,536,1,small,ok
sj00,31,male,4,4,16,16,12,0,product,number,SOA_120,1,618,1,small,ok
sj00,31,male,4,7,28,28,-1,0,product,letter,SOA_120,1,476,1,small,ok
sj00,31,male,7,7,49,49,-1,0,product,letter,SOA_170,1,586,1,large,ok
sj00,31,male,5,6,38,30,22,0,not_product,number,SOA_120,1,426,1,small,ok
sj00,31,male,4,8,28,32,-1,0,not_product,letter,SOA_170,1,506,1,large,ok
sj00,31,male,4,7,34,28,24,0,not_product,number,SOA_120,1,458,1,small,ok
sj00,31,male,4,7,28,28,24,0,product,number,SOA_120,1,588,1,small,ok
sj00,31,male,4,4,16,16,12,0,product,number,SOA_170,1,701,1,small,ok
sj00,31,male,5,6,30,30,-1,0,product,letter,SOA_070,1,565,1,small,ok
sj00,31,male,4,5,20,20,23,0,product,number,SOA_120,1,537,1,small,ok
sj00,31,male,4,5,16,20,23,0,not_product,number,SOA_120,1,411,1,small,ok
sj00,31,male,5,7,35,35,31,0,product,number,SOA_170,1,421,1,large,ok
sj00,31,male,6,6,41,36,31,0,not_product,number,SOA_070,1,534,1,large,ok
sj00,31,male,4,8,29,32,28,0,not_product,number,SOA_070,1,1928,1,large,ok
sj00,31,male,3,5,15,15,20,0,product,number,SOA_170,1,428,1,small,ok
sj00,31,male,5,6,30,30,24,0,product,number,SOA_170,1,700,1,small,ok
sj00,31,male,6,6,31,36,30,0,not_product,number,SOA_170,1,612,1,large,ok
sj00,31,male,4,8,32,32,-1,0,product,letter,SOA_170,1,534,1,large,ok
sj00,31,male,7,7,52,49,56,0,not_product,number,SOA_070,1,745,1,large,ok
sj00,31,male,6,7,37,42,-1,0,not_product,letter,SOA_070,1,905,1,large,ok
sj00,31,male,5,5,25,25,30,0,product,number,SOA_070,1,409,1,small,ok
sj00,31,male,5,8,32,40,47,0,not_product,number,SOA_070,1,355,1,large,ok
sj00,31,male,3,6,18,18,-1,0,product,letter,SOA_120,1,553,1,small,ok
sj00,31,male,5,7,35,35,-1,0,product,letter,SOA_070,1,727,1,large,ok
sj00,31,male,5,5,20,25,-1,0,not_product,letter,SOA_170,1,956,1,small,ok
sj00,31,male,7,7,42,49,46,0,not_product,number,SOA_170,1,362,1,large,ok
sj00,31,male,3,5,15,15,-1,0,product,letter,SOA_170,1,950,1,small,ok
sj00,31,male,3,7,23,21,-1,0,not_product,letter,SOA_170,1,724,1,small,ok
sj00,31,male,5,5,25,25,34,0,product,number,SOA_170,1,504,1,small,ok
sj00,31,male,6,8,43,48,-1,0,not_product,letter,SOA_070,1,473,1,large,ok
sj00,31,male,6,6,36,36,41,0,product,number,SOA_120,1,390,1,large,ok
sj00,31,male,6,6,41,36,-1,0,not_product,letter,SOA_170,1,501,1,large,ok
sj00,31,male,6,8,53,48,42,0,not_product,number,SOA_170,1,373,1,large,ok
sj00,31,male,6,6,36,36,-1,0,product,letter,SOA_120,1,503,1,large,ok
sj00,31,male,6,6,30,36,-1,0,not_product,letter,SOA_070,1,455,1,large,ok
sj00,31,male,5,7,35,35,41,0,product,number,SOA_120,1,489,1,large,ok
sj00,31,male,5,5,25,25,20,0,product,number,SOA_120,1,1204,1,small,ok
sj00,31,male,6,8,48,48,-1,0,product,letter,SOA_120,1,440,1,large,ok
sj00,31,male,5,7,35,35,-1,0,product,letter,SOA_170,1,1348,1,large,ok
sj00,31,male,3,5,20,15,-1,0,not_product,letter,SOA_070,1,348,1,small,ok
sj00,31,male,5,7,40,35,41,0,not_product,number,SOA_120,1,476,1,large,ok
sj00,31,male,3,6,17,18,21,0,not_product,number,SOA_120,1,362,1,small,ok
sj00,31,male,5,7,30,35,-1,0,not_product,letter,SOA_120,1,471,2,large,ok
sj00,31,male,4,8,32,32,-1,0,product,letter,SOA_120,1,485,2,large,ok
sj00,31,male,4,8,36,32,-1,0,not_product,letter,SOA_120,1,410,2,large,ok
sj00,31,male,5,5,20,25,30,0,not_product,number,SOA_070,1,388,2,small,ok
sj00,31,male,3,5,10,15,23,0,not_product,number,SOA_070,1,348,2,small,ok
sj00,31,male,6,6,36,36,-1,0,product,letter,SOA_170,1,492,2,large,ok
sj00,31,male,6,8,48,48,53,0,product,number,SOA_070,1,438,2,large,ok
sj00,31,male,5,6,30,30,-1,0,product,letter,SOA_120,1,492,2,small,ok
sj00,31,male,6,6,42,36,-1,0,not_product,letter,SOA_120,1,471,2,large,ok
sj00,31,male,5,7,35,35,-1,0,product,letter,SOA_120,1,501,2,large,ok
sj00,31,male,4,5,24,20,16,0,not_product,number,SOA_070,1,437,2,small,ok
sj00,31,male,6,8,48,48,-1,0,product,letter,SOA_070,1,699,2,large,ok
sj00,31,male,7,7,49,49,56,0,product,number,SOA_070,1,461,2,large,ok
sj00,31,male,5,5,25,25,-1,0,product,letter,SOA_070,1,389,2,small,ok
sj00,31,male,5,5,25,25,-1,0,product,letter,SOA_120,1,611,2,small,ok
sj00,31,male,7,7,49,49,-1,0,product,letter,SOA_120,1,502,2,large,ok
sj00,31,male,3,7,21,21,-1,0,product,letter,SOA_070,1,438,2,small,ok
sj00,31,male,4,5,20,20,16,0,product,number,SOA_070,1,332,2,small,ok
sj00,31,male,4,8,37,32,-1,0,not_product,letter,SOA_070,1,423,2,large,ok
sj00,31,male,6,7,47,42,-1,0,not_product,letter,SOA_170,1,486,2,large,ok
sj00,31,male,4,4,23,16,-1,0,not_product,letter,SOA_170,1,603,2,small,ok
sj00,31,male,4,4,20,16,-1,0,not_product,letter,SOA_120,1,503,2,small,ok
sj00,31,male,6,6,36,36,30,0,product,number,SOA_170,1,1191,2,large,ok
sj00,31,male,5,5,30,25,34,0,not_product,number,SOA_170,1,1205,2,small,ok
sj00,31,male,5,6,22,30,38,0,not_product,number,SOA_070,0,1081,2,small,ok
sj00,31,male,4,8,37,32,29,0,not_product,number,SOA_120,1,853,2,large,ok
sj00,31,male,3,7,21,21,-1,0,product,letter,SOA_170,1,584,2,small,ok
sj00,31,male,4,4,13,16,-1,0,not_product,letter,SOA_070,1,472,2,small,ok
sj00,31,male,5,7,31,35,-1,0,not_product,letter,SOA_070,1,470,2,large,ok
sj00,31,male,6,6,30,36,41,0,not_product,number,SOA_120,1,356,2,large,ok
sj00,31,male,4,7,28,28,-1,0,product,letter,SOA_170,1,538,2,small,ok
sj00,31,male,5,7,30,35,40,0,not_product,number,SOA_070,1,364,2,large,ok
sj00,31,male,7,7,49,49,46,0,product,number,SOA_120,1,408,2,large,ok
sj00,31,male,6,7,42,42,-1,0,product,letter,SOA_070,1,381,2,large,ok
sj00,31,male,4,5,20,20,-1,0,product,letter,SOA_070,1,517,2,small,ok
sj00,31,male,3,6,23,18,21,0,not_product,number,SOA_070,1,459,2,small,ok
sj00,31,male,4,4,16,16,-1,0,product,letter,SOA_120,1,627,2,small,ok
sj00,31,male,5,6,24,30,-1,0,not_product,letter,SOA_070,1,395,2,small,ok
sj00,31,male,5,8,40,40,-1,0,product,letter,SOA_070,1,601,2,large,ok
sj00,31,male,6,8,53,48,54,0,not_product,number,SOA_120,1,470,2,large,ok
sj00,31,male,4,5,17,20,-1,0,not_product,letter,SOA_070,1,308,2,small,ok
sj00,31,male,5,5,30,25,-1,0,not_product,letter,SOA_120,1,412,2,small,ok
sj00,31,male,3,7,21,21,-1,0,product,letter,SOA_120,1,662,2,small,ok
sj00,31,male,4,5,17,20,16,0,not_product,number,SOA_170,1,454,2,small,ok
sj00,31,male,6,7,48,42,-1,0,not_product,letter,SOA_120,1,472,2,large,ok
sj00,31,male,5,7,35,35,40,0,product,number,SOA_070,1,454,2,large,ok
sj00,31,male,7,7,56,49,46,0,not_product,number,SOA_120,1,425,2,large,ok
sj00,31,male,6,7,42,42,48,0,product,number,SOA_170,1,521,2,large,ok
sj00,31,male,3,6,18,18,-1,0,product,letter,SOA_170,1,501,2,small,ok
sj00,31,male,3,6,18,18,21,0,product,number,SOA_170,1,437,2,small,ok
sj00,31,male,4,5,23,20,-1,0,not_product,letter,SOA_170,1,507,2,small,ok
sj00,31,male,4,8,36,32,37,0,not_product,number,SOA_170,1,459,2,large,ok
sj00,31,male,7,7,49,49,46,0,product,number,SOA_170,1,436,2,large,ok
sj00,31,male,4,5,20,20,-1,0,product,letter,SOA_170,1,554,2,small,ok
sj00,31,male,3,7,24,21,19,0,not_product,number,SOA_170,1,504,2,small,ok
sj00,31,male,3,6,15,18,21,0,not_product,number,SOA_170,0,NA,2,small,ok
sj00,31,male,3,6,15,18,-1,0,not_product,letter,SOA_120,1,483,2,small,ok
sj00,31,male,4,5,20,20,16,0,product,number,SOA_170,0,1238,2,small,ok
sj00,31,male,3,7,18,21,24,0,not_product,number,SOA_070,1,387,2,small,ok
sj00,31,male,6,8,54,48,53,0,not_product,number,SOA_070,1,379,2,large,ok
sj00,31,male,5,5,22,25,-1,0,not_product,letter,SOA_070,1,419,2,small,ok
sj00,31,male,3,5,15,15,-1,0,product,letter,SOA_120,1,323,2,small,ok
sj00,31,male,3,5,15,15,23,0,product,number,SOA_070,1,423,2,small,ok
sj00,31,male,5,8,33,40,-1,0,not_product,letter,SOA_120,1,360,2,large,ok
sj00,31,male,5,8,40,40,-1,0,product,letter,SOA_170,1,820,2,large,ok
sj00,31,male,4,8,32,32,28,0,product,number,SOA_070,1,212,2,large,ok
sj00,31,male,3,7,21,21,24,0,product,number,SOA_070,1,390,2,small,ok
sj00,31,male,6,7,42,42,37,0,product,number,SOA_120,1,340,2,large,ok
sj00,31,male,3,7,21,21,19,0,product,number,SOA_170,1,436,2,small,ok
sj00,31,male,6,6,36,36,31,0,product,number,SOA_070,1,298,2,large,ok
sj00,31,male,6,7,42,42,36,0,product,number,SOA_070,1,365,2,large,ok
sj00,31,male,5,5,22,25,20,0,not_product,number,SOA_120,1,281,2,small,ok
sj00,31,male,4,4,23,16,12,0,not_product,number,SOA_120,1,293,2,small,ok
sj00,31,male,3,5,20,15,-1,0,not_product,letter,SOA_120,1,551,2,small,ok
sj00,31,male,6,7,42,42,-1,0,product,letter,SOA_170,1,677,2,large,ok
sj00,31,male,4,7,28,28,32,0,product,number,SOA_170,1,348,2,small,ok
sj00,31,male,5,8,40,40,47,0,product,number,SOA_070,1,299,2,large,ok
sj00,31,male,3,5,15,15,10,0,product,number,SOA_120,1,356,2,small,ok
sj00,31,male,3,6,18,18,21,0,product,number,SOA_070,1,314,2,small,ok
sj00,31,male,4,7,26,28,-1,0,not_product,letter,SOA_120,1,456,2,small,ok
sj00,31,male,3,6,15,18,-1,0,not_product,letter,SOA_070,1,362,2,small,ok
sj00,31,male,6,8,48,48,42,0,product,number,SOA_170,1,358,2,large,ok
sj00,31,male,3,6,18,18,21,0,product,number,SOA_120,1,1100,2,small,ok
sj00,31,male,7,7,46,49,-1,0,not_product,letter,SOA_070,1,1525,2,large,ok
sj00,31,male,4,7,26,28,-1,0,not_product,letter,SOA_170,1,553,2,small,ok
sj00,31,male,5,8,40,40,-1,0,product,letter,SOA_120,1,583,2,large,ok
sj00,31,male,4,5,20,20,-1,0,product,letter,SOA_120,1,408,2,small,ok
sj00,31,male,7,7,49,49,-1,0,product,letter,SOA_070,1,427,2,large,ok
sj00,31,male,3,6,18,18,-1,0,product,letter,SOA_070,1,475,2,small,ok
sj00,31,male,4,4,12,16,20,0,not_product,number,SOA_070,1,346,2,small,ok
sj01,23,female,3,6,18,18,15,0,product,number,SOA_070,1,1069,1,small,ok
sj01,23,female,6,6,31,36,-1,0,not_product,letter,SOA_170,0,1171,1,large,ok
sj01,23,female,3,6,17,18,-1,0,not_product,letter,SOA_070,0,885,1,small,ok
sj01,23,female,6,6,30,36,-1,0,not_product,letter,SOA_120,1,585,1,large,ok
sj01,23,female,5,7,31,35,-1,0,not_product,letter,SOA_120,0,809,1,large,ok
sj01,23,female,4,7,24,28,-1,0,not_product,letter,SOA_170,0,1108,1,small,ok
sj01,23,female,5,6,30,30,-1,0,product,letter,SOA_170,1,972,1,small,ok
sj01,23,female,4,5,20,20,23,0,product,number,SOA_170,1,1206,1,small,ok
sj01,23,female,5,5,30,25,20,0,not_product,number,SOA_120,0,1451,1,small,ok
sj01,23,female,5,6,30,30,-1,0,product,letter,SOA_120,0,1604,1,small,ok
sj01,23,female,7,7,49,49,46,0,product,number,SOA_120,1,1561,1,large,ok
sj01,23,female,3,6,15,18,-1,0,not_product,letter,SOA_120,1,597,1,small,ok
sj01,23,female,3,6,21,18,-1,0,not_product,letter,SOA_170,0,1259,1,small,ok
sj01,23,female,6,8,48,48,-1,0,product,letter,SOA_070,1,1507,1,large,ok
sj01,23,female,4,7,26,28,-1,0,not_product,letter,SOA_070,1,971,1,small,ok
sj01,23,female,5,8,40,40,-1,0,product,letter,SOA_120,0,1046,1,large,ok
sj01,23,female,4,7,28,28,-1,0,product,letter,SOA_120,0,906,1,small,ok
sj01,23,female,3,6,18,18,-1,0,product,letter,SOA_120,1,650,1,small,ok
sj01,23,female,4,7,28,28,34,0,product,number,SOA_170,0,564,1,small,ok
sj01,23,female,5,7,35,35,-1,0,product,letter,SOA_120,1,1257,1,large,ok
sj01,23,female,4,8,32,32,29,0,product,number,SOA_120,1,778,1,large,ok
sj01,23,female,5,7,35,35,30,0,product,number,SOA_170,1,781,1,large,ok
sj01,23,female,4,7,34,28,-1,0,not_product,letter,SOA_120,0,1029,1,small,ok
sj01,23,female,4,8,32,32,-1,0,product,letter,SOA_170,0,723,1,large,ok
sj01,23,female,3,6,21,18,15,0,not_product,number,SOA_070,1,920,1,small,ok
sj01,23,female,3,5,11,15,-1,0,not_product,letter,SOA_070,0,740,1,small,ok
sj01,23,female,6,7,37,42,36,0,not_product,number,SOA_170,1,564,1,large,ok
sj01,23,female,3,7,21,21,-1,0,product,letter,SOA_120,0,568,1,small,ok
sj01,23,female,5,5,25,25,20,0,product,number,SOA_120,1,508,1,small,ok
sj01,23,female,6,7,42,42,36,0,product,number,SOA_070,1,396,1,large,ok
sj01,23,female,3,7,21,21,24,0,product,number,SOA_120,1,378,1,small,ok
sj01,23,female,3,7,24,21,18,0,not_product,number,SOA_170,1,413,1,small,ok
sj01,23,female,4,4,16,16,20,0,product,number,SOA_120,1,390,1,small,ok
sj01,23,female,7,7,49,49,-1,0,product,letter,SOA_170,0,661,1,large,ok
sj01,23,female,3,5,20,15,10,0,not_product,number,SOA_170,1,645,1,small,ok
sj01,23,female,5,7,35,35,41,0,product,number,SOA_120,1,857,1,large,ok
sj01,23,female,6,6,36,36,-1,0,product,letter,SOA_070,1,475,1,large,ok
sj01,23,female,5,6,30,30,36,0,product,number,SOA_170,1,569,1,small,ok
sj01,23,female,6,6,30,36,42,0,not_product,number,SOA_170,1,515,1,large,ok
sj01,23,female,4,8,29,32,-1,0,not_product,letter,SOA_170,1,746,1,large,ok
sj01,23,female,6,6,31,36,42,0,not_product,number,SOA_120,0,698,1,large,ok
sj01,23,female,5,6,30,30,36,0,product,number,SOA_070,1,508,1,small,ok
sj01,23,female,5,7,30,35,41,0,not_product,number,SOA_120,1,365,1,large,ok
sj01,23,female,4,4,16,16,-1,0,product,letter,SOA_070,1,425,1,small,ok
sj01,23,female,4,5,20,20,-1,0,product,letter,SOA_070,1,408,1,small,ok
sj01,23,female,6,7,48,42,-1,0,not_product,letter,SOA_170,1,781,1,large,ok
sj01,23,female,4,5,23,20,-1,0,not_product,letter,SOA_070,1,421,1,small,ok
sj01,23,female,4,8,32,32,37,0,product,number,SOA_170,1,533,1,large,ok
sj01,23,female,6,8,53,48,54,0,not_product,number,SOA_120,1,375,1,large,ok
sj01,23,female,7,7,46,49,-1,0,not_product,letter,SOA_070,1,489,1,large,ok
sj01,23,female,6,6,36,36,-1,0,product,letter,SOA_170,0,516,1,large,ok
sj01,23,female,7,7,56,49,46,0,not_product,number,SOA_170,1,442,1,large,ok
sj01,23,female,4,4,16,16,13,0,product,number,SOA_070,1,278,1,small,ok
sj01,23,female,5,5,34,25,-1,0,not_product,letter,SOA_170,1,604,1,small,ok
sj01,23,female,5,7,30,35,40,0,not_product,number,SOA_070,1,344,1,large,ok
sj01,23,female,3,6,18,18,17,0,product,number,SOA_120,1,360,1,small,ok
sj01,23,female,4,4,23,16,20,0,not_product,number,SOA_120,1,388,1,small,ok
sj01,23,female,7,7,42,49,56,0,not_product,number,SOA_070,1,252,1,large,ok
sj01,23,female,3,7,19,21,24,0,not_product,number,SOA_120,1,263,1,small,ok
sj01,23,female,3,5,15,15,-1,0,product,letter,SOA_170,1,519,1,small,ok
sj01,23,female,4,8,36,32,37,0,not_product,number,SOA_170,1,509,1,large,ok
sj01,23,female,6,7,36,42,37,0,not_product,number,SOA_120,1,333,1,large,ok
sj01,23,female,3,5,15,15,10,0,product,number,SOA_170,1,519,1,small,ok
sj01,23,female,6,7,37,42,-1,0,not_product,letter,SOA_070,1,1043,1,large,ok
sj01,23,female,6,7,42,42,-1,0,product,letter,SOA_070,0,696,1,large,ok
sj01,23,female,6,7,47,42,-1,0,not_product,letter,SOA_120,1,490,1,large,ok
sj01,23,female,4,7,24,28,34,0,not_product,number,SOA_070,1,356,1,small,ok
sj01,23,female,4,7,28,28,-1,0,product,letter,SOA_170,1,442,1,small,ok
sj01,23,female,7,7,42,49,-1,0,not_product,letter,SOA_120,0,566,1,large,ok
sj01,23,female,4,8,28,32,29,0,not_product,number,SOA_120,1,331,1,large,ok
sj01,23,female,6,8,48,48,54,0,product,number,SOA_120,1,277,1,large,ok
sj01,23,female,7,7,49,49,56,0,product,number,SOA_070,1,251,1,large,ok
sj01,23,female,5,8,48,40,-1,0,not_product,letter,SOA_070,1,389,1,large,ok
sj01,23,female,4,7,28,28,32,0,product,number,SOA_120,1,403,1,small,ok
sj01,23,female,5,7,35,35,-1,0,product,letter,SOA_070,1,439,1,large,ok
sj01,23,female,5,8,40,40,32,0,product,number,SOA_170,1,660,1,large,ok
sj01,23,female,4,5,20,20,24,0,product,number,SOA_120,1,404,1,small,ok
sj01,23,female,5,7,35,35,40,0,product,number,SOA_070,1,344,1,large,ok
sj01,23,female,6,6,36,36,42,0,product,number,SOA_170,1,520,1,large,ok
sj01,23,female,3,5,11,15,23,0,not_product,number,SOA_120,1,356,1,small,ok
sj01,23,female,4,4,23,16,-1,0,not_product,letter,SOA_170,0,1066,1,small,ok
sj01,23,female,4,7,28,28,34,0,product,number,SOA_070,1,491,1,small,ok
sj01,23,female,6,6,36,36,42,0,product,number,SOA_120,1,388,1,large,ok
sj01,23,female,5,6,38,30,36,0,not_product,number,SOA_170,1,381,1,small,ok
sj01,23,female,6,6,36,36,31,0,product,number,SOA_070,1,325,1,large,ok
sj01,23,female,3,5,10,15,23,0,not_product,number,SOA_070,1,361,1,small,ok
sj01,23,female,4,8,37,32,-1,0,not_product,letter,SOA_120,1,437,1,large,ok
sj01,23,female,5,8,40,40,33,0,product,number,SOA_070,1,251,1,large,ok
sj01,23,female,5,5,25,25,-1,0,product,letter,SOA_170,1,565,1,small,ok
sj01,23,female,5,6,24,30,36,0,not_product,number,SOA_070,1,314,1,small,ok
sj01,23,female,4,5,20,20,-1,0,product,letter,SOA_120,1,536,2,small,ok
sj01,23,female,4,5,20,20,-1,0,product,letter,SOA_170,1,730,2,small,ok
sj01,23,female,5,5,34,25,-1,0,not_product,letter,SOA_120,1,356,2,small,ok
sj01,23,female,4,7,32,28,34,0,not_product,number,SOA_170,1,522,2,small,ok
sj01,23,female,5,7,40,35,-1,0,not_product,letter,SOA_170,1,470,2,large,ok
sj01,23,female,7,7,49,49,46,0,product,number,SOA_170,0,389,2,large,ok
sj01,23,female,3,5,15,15,-1,0,product,letter,SOA_120,1,397,2,small,ok
sj01,23,female,5,5,25,25,20,0,product,number,SOA_070,1,267,2,small,ok
sj01,23,female,6,7,42,42,-1,0,product,letter,SOA_120,1,507,2,large,ok
sj01,23,female,3,6,18,18,-1,0,product,letter,SOA_070,1,347,2,small,ok
sj01,23,female,5,8,40,40,47,0,product,number,SOA_120,1,427,2,large,ok
sj01,23,female,5,7,31,35,30,0,not_product,number,SOA_170,1,603,2,large,ok
sj01,23,female,5,5,22,25,20,0,not_product,number,SOA_070,1,328,2,small,ok
sj01,23,female,5,7,35,35,-1,0,product,letter,SOA_170,1,508,2,large,ok
sj01,23,female,5,5,25,25,-1,0,product,letter,SOA_070,1,396,2,small,ok
sj01,23,female,7,7,52,49,-1,0,not_product,letter,SOA_170,1,538,2,large,ok
sj01,23,female,6,7,48,42,36,0,not_product,number,SOA_070,1,348,2,large,ok
sj01,23,female,5,8,32,40,47,0,not_product,number,SOA_120,1,460,2,large,ok
sj01,23,female,5,5,25,25,-1,0,product,letter,SOA_120,1,501,2,small,ok
sj01,23,female,5,7,31,35,-1,0,not_product,letter,SOA_070,1,405,2,large,ok
sj01,23,female,6,6,30,36,-1,0,not_product,letter,SOA_070,1,553,2,large,ok
sj01,23,female,3,7,23,21,-1,0,not_product,letter,SOA_170,1,743,2,small,ok
sj01,23,female,6,8,48,48,43,0,product,number,SOA_070,1,327,2,large,ok
sj01,23,female,3,5,11,15,-1,0,not_product,letter,SOA_170,1,492,2,small,ok
sj01,23,female,6,8,48,48,-1,0,product,letter,SOA_120,1,518,2,large,ok
sj01,23,female,5,6,22,30,36,0,not_product,number,SOA_120,1,412,2,small,ok
sj01,23,female,3,7,21,21,24,0,product,number,SOA_070,1,422,2,small,ok
sj01,23,female,3,7,18,21,-1,0,not_product,letter,SOA_120,1,406,2,small,ok
sj01,23,female,6,8,42,48,-1,0,not_product,letter,SOA_070,1,426,2,large,ok
sj01,23,female,3,7,18,21,-1,0,not_product,letter,SOA_070,1,459,2,small,ok
sj01,23,female,3,7,23,21,24,0,not_product,number,SOA_070,1,403,2,small,ok
sj01,23,female,6,7,42,42,36,0,product,number,SOA_170,0,295,2,large,ok
sj01,23,female,6,8,42,48,-1,0,not_product,letter,SOA_120,1,345,2,large,ok
sj01,23,female,6,6,36,36,-1,0,product,letter,SOA_120,1,393,2,large,ok
sj01,23,female,6,7,42,42,-1,0,product,letter,SOA_170,1,599,2,large,ok
sj01,23,female,4,4,13,16,12,0,not_product,number,SOA_170,1,548,2,small,ok
sj01,23,female,3,6,17,18,15,0,not_product,number,SOA_170,1,412,2,small,ok
sj01,23,female,5,6,24,30,-1,0,not_product,letter,SOA_120,1,374,2,small,ok
sj01,23,female,4,5,20,20,16,0,product,number,SOA_070,1,408,2,small,ok
sj01,23,female,3,7,21,21,-1,0,product,letter,SOA_070,1,412,2,small,ok
sj01,23,female,4,7,26,28,32,0,not_product,number,SOA_120,1,359,2,small,ok
sj01,23,female,6,8,53,48,43,0,not_product,number,SOA_070,0,658,2,large,ok
sj01,23,female,5,6,38,30,-1,0,not_product,letter,SOA_070,1,333,2,small,ok
sj01,23,female,5,8,47,40,32,0,not_product,number,SOA_170,1,951,2,large,ok
sj01,23,female,4,5,17,20,16,0,not_product,number,SOA_070,1,277,2,small,ok
sj01,23,female,5,6,30,30,-1,0,product,letter,SOA_070,1,299,2,small,ok
sj01,23,female,4,5,24,20,-1,0,not_product,letter,SOA_170,1,509,2,small,ok
sj01,23,female,4,5,16,20,23,0,not_product,number,SOA_170,1,477,2,small,ok
sj01,23,female,5,5,25,25,30,0,product,number,SOA_170,1,523,2,small,ok
sj01,23,female,6,6,41,36,31,0,not_product,number,SOA_070,1,215,2,large,ok
sj01,23,female,5,8,48,40,-1,0,not_product,letter,SOA_170,1,426,2,large,ok
sj01,23,female,6,8,48,48,-1,0,product,letter,SOA_170,1,570,2,large,ok
