sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,SOA,acc,RT,block,problem_size,timing
sj00,31,male,5,5,25,25,-1,0,product,letter,SOA_170,1,905,1,small,ok
sj00,31,male,6,7,42,42,-1,0,product,letter,SOA_120,1,1274,1,large,ok
sj00,31,male,5,8,32,40,48,0,not_product,number,SOA_120,1,616,1,large,ok
sj00,31,male,4,8,32,32,29,0,product,number,SOA_120,1,698,1,large,ok
sj00,31,male,5,6,22,30,-1,0,not_product,letter,SOA_170,1,572,1,small,ok
sj00,31,male,6,7,37,42,48,0,not_product,number,SOA_170,1,806,1,large,ok
sj00,31,male,7,7,56,49,-1,0,not_product,letter,SOA_170,1,746,1,large,ok
sj00,31,male,4,8,32,32,37,0,product,number,SOA_170,1,538,1,large,ok
sj00,31,male,5,8,40,40,48,0,product,number,SOA_120,1,595,1,large,ok
sj00,31,male,6,8,42,48,-1,0,not_product,letter,SOA_120,1,1241,1,large,ok
sj00,31,male,7,7,42,49,-1,0,not_product,letter,SOA_120,1,565,1,large,ok
sj00,31,male,5,7,41,35,31,0,not_product,number,SOA_170,1,921,1,large,ok
sj00,31,male,3,5,11,15,20,0,not_product,number,SOA_170,0,1429,1,small,ok
sj00,31,male,5,8,47,40,32,0,not_product,number,SOA_170,1,451,1,large,ok
sj00,31,male,4,7,28,28,34,0,product,number,SOA_070,1,1078,1,small,ok
sj00,31,male,4,7,32,28,34,0,not_product,number,SOA_070,0,956,1,small,ok
sj00,31,male,6,8,54,48,-1,0,not_product,letter,SOA_170,1,554,1,large,ok
sj00,31,male,5,8,33,40,-1,0,not_product,letter,SOA_070,1,680,1,large,ok
sj00,31,male,5,6,30,30,38,0,product,number,SOA_070,1,532,1,small,ok
sj00,31,male,6,8,48,48,54,0,product,number,SOA_120,1,1014,1,large,ok
sj00,31,male,4,4,16,16,-1,0,product,letter,SOA_070,1,1433,1,small,ok
sj00,31,male,4,7,26,28,-1,0,not_product,letter,SOA_070,1,727,1,small,ok
sj00,31,male,3,5,23,15,10,0,not_product,number,SOA_120,1,571,1,small,ok
sj00,31,male,3,5,10,15,-1,0,not_product,letter,SOA_170,1,838,1,small,ok
sj00,31,male,3,5,15,15,-1,0,product,letter,SOA_070,1,604,1,small,ok
sj00,31,male,6,7,47,42,36,0,not_product,number,SOA_070,1,504,1,large,ok
sj00,31,male,4,4,16,16,-1,0,product,letter,SOA_170,1,520,1,small,ok
sj00,31,male,5,7,40,35,-1,0,not_product,letter,SOA_170,1,660,1,large,ok
sj00,31,male,6,7,36,42,37,0,not_product,number,SOA_120,1,404,1,large,ok
sj00,31,male,6,8,48,48,-1,0,product,letter,SOA_170,1,616,1,large,ok
sj00,31,male,4,4,13,16,12,0,not_product,number,SOA_170,1,667,1,small,ok
sj00,31,male,5,6,36,30,-1,0,not_product,letter,SOA_120,1,539,1,small,ok
sj00,31,male,4,7,28,28,-1,0,product,letter,SOA_070,0,621,1,small,ok
sj00,31,male,3,7,19,21,23,0,not_product,number,SOA_120,1,533,1,small,ok
sj00,31,male,5,6,30,30,-1,0,product,letter,SOA_170,1,423,1,small,ok
sj00,31,male,6,6,36,36,-1,0,product,letter,SOA_070,1,440,1,large,ok
sj00,31,male,5,6,38,30,24,0,not_product,number,SOA_170,1,483,1,small,ok
sj00,31,male,4,4,16,16,20,0,product,number,SOA_070,1,504,1,small,ok
sj00,31,male,5,8,40,40,32,0,product,number,SOA_170,1,680,1,large,ok
sj00,31,male,3,7,18,21,-1,0,not_product,letter,SOA_120,1,1364,1,small,ok
sj00,31,male,3,7,21,21,23,0,product,number,SOA_120,1,440,1,small,ok
sj00,31,male,4,7,34,28,32,0,not_product,number,SOA_170,1,532,1,small,ok
