sj,age,gender,op1,op2,probe,product,prime,filler,probe_type,prime_type,SOA,acc,RT,block,problem_size,timing
sj01,24,female,6,6,30,36,-1,0,not_product,letter,SOA_050,1,711,1,large,ok
sj01,24,female,5,5,25,25,-1,0,product,letter,SOA_220,1,806,1,small,ok
sj01,24,female,4,4,12,16,23,0,not_product,number,SOA_220,0,618,1,small,ok
sj01,24,female,6,7,42,42,36,0,product,number,SOA_050,1,828,1,large,ok
sj01,24,female,4,8,32,32,-1,0,product,letter,SOA_050,1,684,1,large,ok
sj01,24,female,3,6,15,18,-1,0,not_product,letter,SOA_220,0,889,1,small,ok
sj01,24,female,3,5,20,15,-1,0,not_product,letter,SOA_220,1,1196,1,small,ok
sj01,24,female,3,5,23,15,-1,0,not_product,letter,SOA_170,1,651,1,small,ok
sj01,24,female,3,7,21,21,-1,0,product,letter,SOA_050,1,581,1,small,ok
sj01,24,female,5,8,48,40,47,0,not_product,number,SOA_050,1,965,1,large,ok
sj01,24,female,4,5,20,20,-1,0,product,letter,SOA_050,1,617,1,small,ok
sj01,24,female,7,7,56,49,46,0,not_product,number,SOA_220,0,907,1,large,ok
sj01,24,female,4,7,28,28,24,0,product,number,SOA_170,0,827,1,small,ok
sj01,24,female,4,7,34,28,-1,0,not_product,letter,SOA_050,0,524,1,small,ok
sj01,24,female,5,7,35,35,31,0,product,number,SOA_220,0,888,1,large,ok
sj01,24,female,6,8,42,48,-1,0,not_product,letter,SOA_170,0,828,1,large,ok
sj01,24,female,6,8,48,48,54,0,product,number,SOA_170,0,684,1,large,ok
sj01,24,female,5,5,25,25,30,0,product,number,SOA_220,0,920,1,small,ok
sj01,24,female,7,7,49,49,46,0,product,number,SOA_220,0,676,1,large,ok
sj01,24,female,5,5,34,25,-1,0,not_product,letter,SOA_050,0,619,1,small,ok
sj01,24,female,5,7,35,35,41,0,product,number,SOA_050,1,669,1,large,ok
sj01,24,female,3,5,10,15,23,0,not_product,number,SOA_220,0,675,1,small,ok
sj01,24,female,5,8,48,40,32,0,not_product,number,SOA_170,1,665,1,large,ok
sj01,24,female,4,4,16,16,-1,0,product,letter,SOA_170,1,522,1,small,ok
sj01,24,female,4,5,20,20,-1,0,product,letter,SOA_170,0,1014,1,small,ok
sj01,24,female,3,6,18,18,-1,0,product,letter,SOA_170,1,648,1,small,ok
sj01,24,female,4,8,32,32,-1,0,product,letter,SOA_220,1,668,1,large,ok
sj01,24,female,5,8,40,40,32,0,product,number,SOA_170,1,652,1,large,ok
sj01,24,female,4,4,16,16,23,0,product,number,SOA_220,0,710,1,small,ok
sj01,24,female,5,7,41,35,-1,0,not_product,letter,SOA_220,1,756,1,large,ok
sj01,24,female,5,7,35,35,-1,0,product,letter,SOA_220,0,635,1,large,ok
sj01,24,female,4,5,23,20,24,0,not_product,number,SOA_050,0,681,1,small,ok
sj01,24,female,3,5,15,15,-1,0,product,letter,SOA_220,1,789,1,small,ok
sj01,24,female,4,7,32,28,24,0,not_product,number,SOA_170,0,803,1,small,ok
sj01,24,female,5,6,30,30,-1,0,product,letter,SOA_170,1,647,1,small,ok
sj01,24,female,4,8,37,32,-1,0,not_product,letter,SOA_220,0,780,1,large,ok
sj01,24,female,4,7,28,28,-1,0,product,letter,SOA_170,1,659,1,small,ok
sj01,24,female,6,7,47,42,-1,0,not_product,letter,SOA_050,0,564,1,large,ok
sj01,24,female,4,4,20,16,13,0,not_product,number,SOA_170,0,1112,1,small,ok
sj01,24,female,5,6,38,30,-1,0,not_product,letter,SOA_050,0,566,1,small,ok
sj01,24,female,4,7,32,28,24,0,not_product,number,SOA_220,1,715,1,small,ok
sj01,24,female,6,7,47,42,48,0,not_product,number,SOA_170,0,600,1,large,ok
sj01,24,female,4,7,28,28,24,0,product,number,SOA_220,0,693,1,small,ok
sj01,24,female,6,7,42,42,-1,0,product,letter,SOA_220,1,1047,1,large,ok
sj01,24,female,6,8,43,48,-1,0,not_product,letter,SOA_220,1,683,1,large,ok
sj01,24,female,5,6,22,30,-1,0,not_product,letter,SOA_220,0,631,1,small,ok
sj01,24,female,5,5,25,25,-1,0,product,letter,SOA_170,1,950,1,small,ok
sj01,24,female,7,7,56,49,52,0,not_product,number,SOA_050,1,723,1,large,ok
sj01,24,female,3,7,18,21,19,0,not_product,number,SOA_050,1,600,1,small,ok
sj01,24,female,6,6,31,36,30,0,not_product,number,SOA_170,1,708,1,large,ok
sj01,24,female,5,6,30,30,24,0,product,number,SOA_050,0,524,1,small,ok
sj01,24,female,4,5,23,20,24,0,not_product,number,SOA_220,0,872,1,small,ok
sj01,24,female,6,6,30,36,41,0,not_product,number,SOA_220,1,887,1,large,ok
sj01,24,female,3,6,18,18,23,0,product,number,SOA_220,0,922,1,small,ok
sj01,24,female,5,8,47,40,-1,0,not_product,letter,SOA_220,1,1143,1,large,ok
sj01,24,female,6,6,36,36,30,0,product,number,SOA_170,1,679,1,large,ok
sj01,24,female,5,5,22,25,30,0,not_product,number,SOA_170,1,643,1,small,ok
sj01,24,female,3,5,15,15,11,0,product,number,SOA_170,1,696,1,small,ok
sj01,24,female,4,5,20,20,16,0,product,number,SOA_170,0,666,1,small,ok
sj01,24,female,3,6,15,18,21,0,not_product,number,SOA_050,1,618,1,small,ok
sj01,24,female,6,7,37,42,-1,0,not_product,letter,SOA_170,1,572,1,large,ok
sj01,24,female,6,6,36,36,-1,0,product,letter,SOA_050,0,758,1,large,ok
sj01,24,female,6,8,43,48,-1,0,not_product,letter,SOA_050,0,620,2,large,ok
sj01,24,female,5,8,40,40,-1,0,product,letter,SOA_050,1,373,2,large,ok
sj01,24,female,7,7,46,49,-1,0,not_product,letter,SOA_050,0,599,2,large,ok
sj01,24,female,7,7,49,49,52,0,product,number,SOA_050,1,461,2,large,ok
sj01,24,female,4,5,17,20,-1,0,not_product,letter,SOA_050,1,661,2,small,ok
sj01,24,female,5,6,38,30,-1,0,not_product,letter,SOA_170,1,629,2,small,ok
sj01,24,female,4,5,20,20,24,0,product,number,SOA_050,1,404,2,small,ok
sj01,24,female,3,7,24,21,23,0,not_product,number,SOA_170,0,696,2,small,ok
sj01,24,female,5,6,30,30,36,0,product,number,SOA_170,1,698,2,small,ok
sj01,24,female,3,7,24,21,-1,0,not_product,letter,SOA_220,1,684,2,small,ok
sj01,24,female,4,5,23,20,16,0,not_product,number,SOA_170,0,488,2,small,ok
sj01,24,female,5,7,35,35,31,0,product,number,SOA_170,0,652,2,large,ok
sj01,24,female,6,7,48,42,36,0,not_product,number,SOA_050,1,423,2,large,ok
sj01,24,female,4,4,12,16,-1,0,not_product,letter,SOA_050,0,503,2,small,ok
sj01,24,female,5,7,41,35,31,0,not_product,number,SOA_170,0,519,2,large,ok
sj01,24,female,3,5,15,15,23,0,product,number,SOA_050,1,557,2,small,ok
sj01,24,female,7,7,52,49,42,0,not_product,number,SOA_170,0,811,2,large,ok
sj01,24,female,5,7,35,35,-1,0,product,letter,SOA_050,1,533,2,large,ok
sj01,24,female,3,7,23,21,-1,0,not_product,letter,SOA_050,0,535,2,small,ok
sj01,24,female,6,6,42,36,-1,0,not_product,letter,SOA_170,1,730,2,large,ok
sj01,24,female,4,4,16,16,-1,0,product,letter,SOA_050,1,580,2,small,ok
sj01,24,female,5,8,33,40,-1,0,not_product,letter,SOA_170,0,644,2,large,ok
sj01,24,female,4,7,26,28,-1,0,not_product,letter,SOA_170,1,552,2,small,ok
sj01,24,female,3,5,15,15,-1,0,product,letter,SOA_050,1,870,2,small,ok
