=======  ============  =========  =======  =========  =========  =========  =========  ==========  ===  =========  =====  =========  ===========  =========  =======
SOA      problem_size  var1       var2     mean_var1  mean_var2  mean_diff  std_error           t   df          p  sig    Cohen_d_z  Hedges_g_av      p_adj  Sig_adj
=======  ============  =========  =======  =========  =========  =========  =========  ==========  ===  =========  =====  =========  ===========  =========  =======
SOA_070  large         neigh_con  neutral   604.7756   594.2207  10.554875  11.689051   0.9029710   27  0.3745271  FALSE  0.1706455    0.0978160  1.0000000  FALSE  
SOA_070  large         neigh_inc  neutral   617.5426   594.2207  23.321853  12.209055   1.9102094   27  0.0667817  FALSE  0.3609957    0.2102585  1.0000000  FALSE  
SOA_070  large         unrel_con  neutral   599.5071   594.2207   5.286421   9.396216   0.5626117   27  0.5783413  FALSE  0.1063236    0.0520716  1.0000000  FALSE  
SOA_070  large         unrel_inc  neutral   611.0250   594.2207  16.804316  15.353161   1.0945184   27  0.2833961  FALSE  0.2068445    0.1423580  1.0000000  FALSE  
SOA_070  small         neigh_con  neutral   553.2876   554.4646  -1.177022   7.503043  -0.1568726   27  0.8765125  FALSE  0.0296461    0.0128104  1.0000000  FALSE  
SOA_070  small         neigh_inc  neutral   570.9838   554.4646  16.519182   9.614539   1.7181459   27  0.0972192  FALSE  0.3246991    0.1869116  1.0000000  FALSE  
SOA_070  small         unrel_con  neutral   562.7122   554.4646   8.247571   9.974825   0.8268386   27  0.4155763  FALSE  0.1562578    0.0868497  1.0000000  FALSE  
SOA_070  small         unrel_inc  neutral   578.1271   554.4646  23.662470  12.169030   1.9444829   27  0.0623233  FALSE  0.3674727    0.2308985  0.9971724  FALSE  
SOA_120  large         neigh_con  neutral   592.2651   581.9171  10.348036  11.394988   0.9081217   27  0.3718487  FALSE  0.1716189    0.0958917  1.0000000  FALSE  
SOA_120  large         neigh_inc  neutral   629.7216   581.9171  47.804474  10.803695   4.4248263   27  0.0001427  TRUE   0.8362136    0.4154669  0.0034256  TRUE   
SOA_120  large         unrel_con  neutral   595.0658   581.9171  13.148661  11.582997   1.1351692   27  0.2662815  FALSE  0.2145268    0.1104232  1.0000000  FALSE  
SOA_120  large         unrel_inc  neutral   617.4934   581.9171  35.576258  11.488562   3.0966676   27  0.0045274  TRUE   0.5852152    0.3185381  0.0996030  FALSE  
SOA_120  small         neigh_con  neutral   552.2202   554.2465  -2.026235   9.618798  -0.2106536   27  0.8347393  FALSE  0.0398098    0.0194420  1.0000000  FALSE  
SOA_120  small         neigh_inc  neutral   562.4737   554.2465   8.227242   7.300528   1.1269380   27  0.2696850  FALSE  0.2129713    0.0795557  1.0000000  FALSE  
SOA_120  small         unrel_con  neutral   552.0853   554.2465  -2.161138  11.331687  -0.1907163   27  0.8501746  FALSE  0.0360420    0.0223902  1.0000000  FALSE  
SOA_120  small         unrel_inc  neutral   564.0101   554.2465   9.763668  11.834653   0.8250067   27  0.4165975  FALSE  0.1559116    0.0971008  1.0000000  FALSE  
SOA_170  large         neigh_con  neutral   588.9851   576.4064  12.578714  14.671606   0.8573509   27  0.3987974  FALSE  0.1620241    0.1148418  1.0000000  FALSE  
SOA_170  large         neigh_inc  neutral   601.3354   576.4064  24.929044  11.483250   2.1709049   27  0.0388990  TRUE   0.4102625    0.2350652  0.6612833  FALSE  
SOA_170  large         unrel_con  neutral   581.7947   576.4064   5.388303  13.494137   0.3993070   27  0.6928081  FALSE  0.0754619    0.0510949  1.0000000  FALSE  
SOA_170  large         unrel_inc  neutral   605.3014   576.4064  28.895029  12.822014   2.2535484   27  0.0325501  TRUE   0.4258806    0.2657520  0.5859027  FALSE  
SOA_170  small         neigh_con  neutral   562.3091   530.7977  31.511385   9.923288   3.1754985   27  0.0037208  TRUE   0.6001128    0.3456646  0.0855788  FALSE  
SOA_170  small         neigh_inc  neutral   555.3449   530.7977  24.547261   9.839653   2.4947282   27  0.0190214  TRUE   0.4714593    0.2782045  0.3614064  FALSE  
SOA_170  small         unrel_con  neutral   558.9704   530.7977  28.172753  10.341309   2.7242928   27  0.0111630  TRUE   0.5148429    0.3051531  0.2232596  FALSE  
SOA_170  small         unrel_inc  neutral   556.2090   530.7977  25.411365   8.863831   2.8668602   27  0.0079423  TRUE   0.5417857    0.3034194  0.1667873  FALSE  
=======  ============  =========  =======  =========  =========  =========  =========  ==========  ===  =========  =====  =========  ===========  =========  =======
