SOA,problem_size,var1,var2,mean_var1,mean_var2,mean_diff,std_error,t,df,p,sig,Cohen_d_z,Hedges_g_av,p_adj,Sig_adj
SOA_070,large,neigh_con,neutral,604.7755843362986,594.2207096474954,10.554874688803247,11.68905131991251,0.9029710281811174,27,0.3745270623249696,FALSE,0.17064548440453786,0.09781597340839229,1,FALSE
SOA_070,large,neigh_inc,neutral,617.5425625961341,594.2207096474954,23.321852948638657,12.209055425604001,1.9102094417336863,27,0.06678168813874306,FALSE,0.36099565249106225,0.21025852622479718,1,FALSE
SOA_070,large,unrel_con,neutral,599.5071307660593,594.2207096474954,5.286421118563965,9.396216526735708,0.5626116749781301,27,0.5783413134681695,FALSE,0.10632361262097265,0.05207157901679511,1,FALSE
SOA_070,large,unrel_inc,neutral,611.0250261643118,594.2207096474954,16.804316516816513,15.353160872526502,1.0945183637648688,27,0.28339611893534367,FALSE,0.20684452827965455,0.1423579751238221,1,FALSE
SOA_070,small,neigh_con,neutral,553.2875960349174,554.4646176739926,-1.1770216390752088,7.503042966303061,-0.15687257081711167,27,0.8765124543504779,FALSE,0.029646129279245367,0.012810367236771742,1,FALSE
SOA_070,small,neigh_inc,neutral,570.9837993851387,554.4646176739926,16.519181711146,9.614539485913197,1.7181459117567912,27,0.09721919461370616,FALSE,0.3246990570450585,0.18691164437044286,1,FALSE
SOA_070,small,unrel_con,neutral,562.7121882086168,554.4646176739926,8.247570534624106,9.974825119045095,0.8268386098195232,27,0.4155762892160877,FALSE,0.15625780971206032,0.086849696532873,1,FALSE
SOA_070,small,unrel_inc,neutral,578.12708794182,554.4646176739926,23.662470267827405,12.169029806636045,1.9444828917194146,27,0.062323272364689805,FALSE,0.36747272572209355,0.23089845657567892,0.9971723578350369,FALSE
SOA_120,large,neigh_con,neutral,592.2651404151404,581.9171045224616,10.34803589267875,11.394987758129568,0.9081217209115571,27,0.37184866410159645,FALSE,0.17161887383628552,0.09589166934147418,1,FALSE
SOA_120,large,neigh_inc,neutral,629.721578223364,581.9171045224616,47.80447370090227,10.80369507798702,4.424826261369212,27,1.427313137438988e-4,TRUE,0.8362135630179034,0.41546692932117313,0.0034255515298535714,TRUE
SOA_120,large,unrel_con,neutral,595.0657655836227,581.9171045224616,13.148661061161055,11.582996822112948,1.1351691848916956,27,0.2662815392653346,FALSE,0.2145268113719522,0.1104232361469657,1,FALSE
SOA_120,large,unrel_inc,neutral,617.493362094255,581.9171045224616,35.576257571793285,11.488561896391543,3.096667615375557,27,0.004527410265009226,TRUE,0.5852151716650824,0.3185381155668258,0.09960302583020297,FALSE
SOA_120,small,neigh_con,neutral,552.2202380952381,554.2464727237049,-2.0262346284667734,9.618797747667534,-0.21065362653644687,27,0.8347393040679489,FALSE,0.039809793470665815,0.019442030291162846,1,FALSE
SOA_120,small,neigh_inc,neutral,562.4737146781789,554.2464727237049,8.22724195447409,7.300527514430921,1.126938010741188,27,0.2696849730263567,FALSE,0.21297126567192873,0.07955565299938928,1,FALSE
SOA_120,small,unrel_con,neutral,552.085334903192,554.2464727237049,-2.1611378205128307,11.33168657646304,-0.19071634270239288,27,0.8501746359679562,FALSE,0.036042000981879097,0.022390155300032306,1,FALSE
SOA_120,small,unrel_inc,neutral,564.0101403061225,554.2464727237049,9.76366758241758,11.8346530358814,0.8250066607626929,27,0.416597531428622,FALSE,0.15591160388213726,0.09710080843540124,1,FALSE
SOA_170,large,neigh_con,neutral,588.9850702868561,576.4063558465344,12.578714440321573,14.671605802643498,0.8573509000667919,27,0.3987973603818976,FALSE,0.1620240905638664,0.11484179872978821,1,FALSE
SOA_170,large,neigh_inc,neutral,601.3353999175428,576.4063558465344,24.929044071008352,11.483250227003587,2.1709048900098105,27,0.03889901726424995,TRUE,0.4102624613528558,0.2350651647846193,0.6612832934922491,FALSE
SOA_170,large,unrel_con,neutral,581.7946590116233,576.4063558465344,5.3883031650888755,13.494136954363935,0.3993069866795983,27,0.6928080525309932,FALSE,0.07546192739462759,0.051094939907084566,1,FALSE
SOA_170,large,unrel_inc,neutral,605.3013851228137,576.4063558465344,28.895029276279267,12.822013946191602,2.253548420516395,27,0.03255014820206916,TRUE,0.42588062058062803,0.2657520441966431,0.5859026676372449,FALSE
SOA_170,small,neigh_con,neutral,562.3090642987964,530.7976795525902,31.51138474620617,9.923287647098173,3.1754984705518354,27,0.003720815475688301,TRUE,0.6001128029818666,0.3456645549730942,0.08557875594083092,FALSE
SOA_170,small,neigh_inc,neutral,555.3449404761905,530.7976795525902,24.54726092360021,9.839653391566564,2.49472821315427,27,0.019021388166632274,TRUE,0.4714593171930527,0.27820450538882185,0.3614063751660132,FALSE
SOA_170,small,unrel_con,neutral,558.9704326923077,530.7976795525902,28.172753139717425,10.341308860384245,2.7242927873126717,27,0.011162978185919329,TRUE,0.5148429438397367,0.30515311410611295,0.22325956371838657,FALSE
SOA_170,small,unrel_inc,neutral,556.2090446755625,530.7976795525902,25.411365122972263,8.863831241109919,2.8668602133483625,27,0.007942252630662148,TRUE,0.5417856548646671,0.3034194166056836,0.16678730524390512,FALSE
