problem_size,var1,var2,mean_var1,mean_var2,mean_diff,std_error,t,df,p,sig,Cohen_d_z,Hedges_g_av,p_adj,Sig_adj
large,identity,neutral,554.6660964020089,597.3972551809366,-42.731158778927664,10.028052871176618,-4.261162094762062,27,2.2107910882898456e-4,TRUE,0.8052839427768196,0.4096875817127977,0.001547553761802892,TRUE
large,neigh_con,neutral,622.4495761183261,597.3972551809366,25.052320937389585,9.86715752238991,2.5389602710347425,27,0.017191716270182327,TRUE,0.47981839041650587,0.22607194721826587,0.05157514881054698,FALSE
large,neigh_inc,neutral,644.8522817460317,597.3972551809366,47.45502656509522,8.688930050905801,5.461550074298059,27,8.836473986414282e-6,TRUE,1.0321359478227856,0.44321075576167773,8.836473986414282e-5,TRUE
large,unrel_con,neutral,602.7290597299526,597.3972551809366,5.33180454901606,10.487206268695651,0.5084103823657512,27,0.6152947168581965,FALSE,0.09608053112164536,0.048756704489807165,0.6152947168581965,FALSE
large,unrel_inc,neutral,645.4556998556999,597.3972551809366,48.05844467476333,11.99494274188379,4.006558906442584,27,4.3495570748200635e-4,TRUE,0.7571684628269987,0.40984953977467586,0.002174778537410032,TRUE
small,identity,neutral,513.436179452018,550.6034023688527,-37.16722291683471,8.351024929485003,-4.4506181254001795,27,1.3320323964323365e-4,TRUE,0.8410877671660961,0.4263872471464587,0.0010656259171458692,TRUE
small,neigh_con,neutral,573.1829004329004,550.6034023688527,22.57949806404775,10.531137551783123,2.1440701873867947,27,0.04118779505480594,TRUE,0.40519117923522163,0.24773931685612063,0.08237559010961187,FALSE
small,neigh_inc,neutral,574.5669552669552,550.6034023688527,23.963552898102584,8.515355092337147,2.8141577935683575,27,0.009014365819351186,TRUE,0.5318258337054359,0.24734190753590532,0.03605746327740474,TRUE
small,unrel_con,neutral,600.2193722943723,550.6034023688527,49.61596992551962,10.656059326238607,4.656127411316989,27,7.674409506886121e-5,TRUE,0.8799253716411215,0.479862450356531,6.906968556197509e-4,TRUE
small,unrel_inc,neutral,590.4350378787879,550.6034023688527,39.8316355099352,9.770806437678495,4.076596518823172,27,3.6128705794516414e-4,TRUE,0.7704043274541246,0.39742965572439237,0.002167722347670985,TRUE
